iter	Logloss
0	0.673857742
1	0.6537971443
2	0.6307042328
3	0.6146905653
4	0.5975268996
5	0.5861813308
6	0.5769743763
7	0.5639235891
8	0.551082152
9	0.5384120767
10	0.5294935851
11	0.5227347481
12	0.5158366827
13	0.5127335378
14	0.5054419599
15	0.4984790655
16	0.4923743002
17	0.4874146578
18	0.4810439321
19	0.4779806495
20	0.4713495013
21	0.4661748477
22	0.4633297458
23	0.4547158576
24	0.4469842005
25	0.4437067857
26	0.4408881119
27	0.4380137618
28	0.4336379737
29	0.4314914831
30	0.4286319379
31	0.425914322
32	0.4234349746
33	0.4222736099
34	0.4203426699
35	0.4162079032
36	0.4151189452
37	0.4115653355
38	0.4092714249
39	0.4059839894
40	0.4023132499
41	0.3992856052
42	0.3956735829
43	0.3926990363
44	0.3918165425
45	0.3901689036
46	0.3881620449
47	0.3860837103
48	0.3846886639
49	0.3838511152
50	0.3817864162
51	0.3802699683
52	0.379431747
53	0.3786722081
54	0.3778790889
55	0.3773315636
56	0.3766234774
57	0.3758344379
58	0.3744509776
59	0.3731717073
60	0.3717514986
61	0.3700136108
62	0.3694518904
63	0.3687157063
64	0.3681044338
65	0.367099739
66	0.3665704309
67	0.365453887
68	0.364825557
69	0.3643459828
70	0.3625122443
71	0.3620256598
72	0.3616079515
73	0.3603899623
74	0.3592992633
75	0.3589107011
76	0.3577874456
77	0.3565031093
78	0.3558577208
79	0.3548443109
80	0.3543320048
81	0.352884214
82	0.3524143733
83	0.3518546928
84	0.3502777613
85	0.3493938213
86	0.348079955
87	0.3469214389
88	0.3461155171
89	0.3457244679
90	0.3442355255
91	0.3439014453
92	0.3435407347
93	0.342931904
94	0.3425654502
95	0.3422352235
96	0.3418939067
97	0.3415209356
98	0.3411821849
99	0.3408871661
100	0.3404268172
101	0.3400423583
102	0.3392900247
103	0.3389493553
104	0.338558435
105	0.3381535009
106	0.3378955166
107	0.3374949636
108	0.3364950216
109	0.3361496801
110	0.3358776321
111	0.3351249308
112	0.3348355639
113	0.3344920837
114	0.3337684866
115	0.3325857714
116	0.3322800184
117	0.3314879559
118	0.3308229273
119	0.3304892245
120	0.3300708231
121	0.3298124216
122	0.3289868199
123	0.3280558065
124	0.3274218105
125	0.3270456485
126	0.3262608712
127	0.3260635546
128	0.3256451823
129	0.3253208385
130	0.3250693062
131	0.3247756511
132	0.3244748931
133	0.3241778499
134	0.3237858417
135	0.3234444052
136	0.3231495253
137	0.3229600815
138	0.3223828587
139	0.3221590995
140	0.3218642006
141	0.3215314308
142	0.3212224099
143	0.3209521551
144	0.3206677388
145	0.3204960324
146	0.320288797
147	0.3200665191
148	0.3197421174
149	0.3191211324
150	0.3188597084
151	0.3185608535
152	0.3183322651
153	0.3175567115
154	0.3169723174
155	0.3164803357
156	0.3157357472
157	0.3154548622
158	0.3151860802
159	0.3149746325
160	0.3148216343
161	0.3142275543
162	0.3140045915
163	0.3134651099
164	0.3131807256
165	0.3128664693
166	0.3126363655
167	0.3121390857
168	0.3119923323
169	0.3117331103
170	0.3113935453
171	0.3111609203
172	0.3109061796
173	0.3106864637
174	0.310434102
175	0.3102380852
176	0.31000269
177	0.3098283166
178	0.3096457377
179	0.3094690279
180	0.3092467262
181	0.3090623827
182	0.3088030042
183	0.3085663837
184	0.3083500972
185	0.3077660545
186	0.3075736295
187	0.3071415472
188	0.3069562897
189	0.3067040252
190	0.3064667303
191	0.3062591128
192	0.3058221321
193	0.3056114598
194	0.3053978381
195	0.3051637461
196	0.3049354664
197	0.3046205132
198	0.3042768537
199	0.3040731341
200	0.3038656551
201	0.3035985269
202	0.3033836263
203	0.303169821
204	0.3028896447
205	0.3026749529
206	0.3024482374
207	0.3021792103
208	0.3019200937
209	0.301706014
210	0.3015100331
211	0.3010960722
212	0.3009132305
213	0.3007579812
214	0.3005630363
215	0.3002581032
216	0.3000764743
217	0.2998852416
218	0.2995361941
219	0.2993137083
220	0.2991383629
221	0.2990056625
222	0.2983884487
223	0.2981428145
224	0.2979342211
225	0.2977793131
226	0.2973176425
227	0.2971566168
228	0.2969379473
229	0.2966881393
230	0.2962625646
231	0.2961223412
232	0.2959904407
233	0.2957398623
234	0.2954901685
235	0.2952644995
236	0.2950994863
237	0.2949474914
238	0.2945943272
239	0.2944735146
240	0.29416997
241	0.2940538935
242	0.2938827422
243	0.2936727956
244	0.293483524
245	0.2933339956
246	0.293013022
247	0.2928938697
248	0.292759711
249	0.2925527588
250	0.2923829684
251	0.2920951497
252	0.2919029876
253	0.2916856823
254	0.2915335907
255	0.2913214595
256	0.2911347011
257	0.290919138
258	0.2907424789
259	0.2905579626
260	0.2898896568
261	0.2893651621
262	0.2891545772
263	0.2889660318
264	0.2887377878
265	0.2885529613
266	0.2883701301
267	0.288110196
268	0.2879504359
269	0.2877413576
270	0.2875816722
271	0.2874654033
272	0.2873216335
273	0.2870758697
274	0.2868725617
275	0.2866460208
276	0.286477986
277	0.2863139409
278	0.286148813
279	0.2858536581
280	0.285637272
281	0.2854461823
282	0.2850865982
283	0.284889283
284	0.2846731989
285	0.2844068085
286	0.2840341922
287	0.2837996336
288	0.2836385155
289	0.2835145438
290	0.2833647567
291	0.2831579866
292	0.2830031244
293	0.2828112192
294	0.2826271855
295	0.2824662231
296	0.2816163122
297	0.2814428916
298	0.2812445808
299	0.2810506824
300	0.2808521322
301	0.2806962344
302	0.2805615542
303	0.2803927289
304	0.2802041876
305	0.2800138995
306	0.2793505308
307	0.279204279
308	0.2790285352
309	0.2787851994
310	0.2786148414
311	0.2784404423
312	0.2782665018
313	0.2780903793
314	0.2778644267
315	0.2774490322
316	0.2771405345
317	0.2769513029
318	0.2764271871
319	0.2762530586
320	0.2760681314
321	0.2759191207
322	0.275701455
323	0.2755704692
324	0.2751939913
325	0.2750065467
326	0.2747889911
327	0.2745878202
328	0.274425738
329	0.2742219302
330	0.2740587808
331	0.2738619732
332	0.2736518216
333	0.2735067661
334	0.2733211986
335	0.2731414001
336	0.2729680211
337	0.2727726698
338	0.2723268554
339	0.2721075255
340	0.2719627106
341	0.271838331
342	0.2712228184
343	0.271044264
344	0.2708494515
345	0.2705371156
346	0.2703630091
347	0.2700024975
348	0.2697818378
349	0.2696719881
350	0.2695064554
351	0.2693275307
352	0.2691640004
353	0.2689492351
354	0.2687420498
355	0.2685863693
356	0.2684083477
357	0.2682472112
358	0.2681221041
359	0.267923618
360	0.2677536291
361	0.2675752112
362	0.2674024469
363	0.2672470593
364	0.2670754919
365	0.2668892463
366	0.2666736917
367	0.2665191141
368	0.2663587999
369	0.2662230027
370	0.2660172682
371	0.265703838
372	0.2655297643
373	0.2653401609
374	0.2651947452
375	0.2650370719
376	0.2647502716
377	0.2645982766
378	0.2644500042
379	0.2643516203
380	0.2641950748
381	0.2638264323
382	0.2636119373
383	0.2634298566
384	0.2632199357
385	0.2630378828
386	0.2627957316
387	0.2626565181
388	0.2624592376
389	0.2622776308
390	0.2621741523
391	0.261979602
392	0.2618544431
393	0.26169138
394	0.2615763743
395	0.2614276116
396	0.2612476408
397	0.261050699
398	0.2609010731
399	0.2607963881
400	0.2606059705
401	0.2602737136
402	0.2600716399
403	0.2599119042
404	0.2597850575
405	0.2596402325
406	0.2587235676
407	0.2585737062
408	0.2584316336
409	0.2582577546
410	0.2581194029
411	0.2574122538
412	0.257284537
413	0.2571477409
414	0.2569195183
415	0.2567927624
416	0.2566615298
417	0.256500431
418	0.2563510411
419	0.2562552267
420	0.2561130135
421	0.255929524
422	0.255736497
423	0.2555505949
424	0.255355914
425	0.255186304
426	0.255023525
427	0.2548992786
428	0.2547380944
429	0.2545747434
430	0.2544458947
431	0.2543302919
432	0.2541640507
433	0.253975954
434	0.2537903987
435	0.2536476326
436	0.2534580858
437	0.2532080392
438	0.2530759705
439	0.2529728684
440	0.2528553623
441	0.2527690431
442	0.2525821788
443	0.2524766519
444	0.2523222278
445	0.2520931336
446	0.2518998688
447	0.2517128946
448	0.2515331873
449	0.2514175692
450	0.2513491516
451	0.251223637
452	0.2510449803
453	0.25090829
454	0.2507346597
455	0.2506350243
456	0.2504523406
457	0.250258215
458	0.2501653793
459	0.2500046895
460	0.2498690313
461	0.249688378
462	0.2494861504
463	0.2493431855
464	0.249170982
465	0.2489875694
466	0.2488575225
467	0.2487081156
468	0.2485624467
469	0.248404362
470	0.2482538371
471	0.2480869906
472	0.2479252154
473	0.2477580836
474	0.2476372354
475	0.2472322385
476	0.2470418236
477	0.2468975425
478	0.2467491311
479	0.2465932921
480	0.2464276747
481	0.2462770526
482	0.246108072
483	0.2459608287
484	0.2457551469
485	0.2456271388
486	0.2454886373
487	0.2453822162
488	0.2452633751
489	0.2451481699
490	0.2449883773
491	0.2447885226
492	0.244649872
493	0.2445248037
494	0.2443480096
495	0.2441131078
496	0.2440285317
497	0.2438662188
498	0.2437309317
499	0.2435833137
500	0.2434319786
501	0.2432948948
502	0.2430836122
503	0.2428859269
504	0.2427778291
505	0.2426672093
506	0.2425431564
507	0.242408156
508	0.2422616551
509	0.2421090818
510	0.2420140067
511	0.2418709623
512	0.2417133604
513	0.241601288
514	0.2414402807
515	0.2413313625
516	0.2411788114
517	0.2409950674
518	0.2408661161
519	0.2407054265
520	0.2405462238
521	0.2404185693
522	0.2402641542
523	0.2401176172
524	0.2398427293
525	0.2396779934
526	0.2395590803
527	0.2394100498
528	0.239315535
529	0.2391718972
530	0.2390726311
531	0.2389756938
532	0.2388216527
533	0.2386971349
534	0.2385788109
535	0.2384628491
536	0.2383603737
537	0.2382498393
538	0.238045497
539	0.2378804105
540	0.237763301
541	0.2376198835
542	0.2374934833
543	0.237373569
544	0.237237274
545	0.237105932
546	0.2369318315
547	0.2368004343
548	0.2366263713
549	0.2365275186
550	0.2363829398
551	0.2362398199
552	0.2361049488
553	0.2359393418
554	0.2357833669
555	0.2356098353
556	0.2355504965
557	0.2353805013
558	0.2352483194
559	0.2351119392
560	0.2350336496
561	0.2349091732
562	0.2347710036
563	0.2346422432
564	0.2345619617
565	0.234380192
566	0.2342447759
567	0.234100812
568	0.233943774
569	0.2338012653
570	0.2336575422
571	0.2335230415
572	0.233411517
573	0.2332984068
574	0.2331692693
575	0.2330414682
576	0.232925795
577	0.2328244187
578	0.2327089953
579	0.232623853
580	0.232493053
581	0.2323456618
582	0.2321965812
583	0.2320762883
584	0.2319231287
585	0.2317458959
586	0.2316347412
587	0.23155031
588	0.2314195648
589	0.2310972422
590	0.2309746879
591	0.2308648616
592	0.2307242791
593	0.2306549756
594	0.2305229927
595	0.2303772866
596	0.2302046655
597	0.2300256466
598	0.2298977722
599	0.229784101
600	0.2294705839
601	0.2293824852
602	0.2292358841
603	0.2291107047
604	0.2289786473
605	0.2288731561
606	0.2287276209
607	0.2285974845
608	0.2284680368
609	0.2283596323
610	0.2282485666
611	0.2281606855
612	0.2280068885
613	0.2278579729
614	0.2277251807
615	0.2275288397
616	0.2274181831
617	0.2273369044
618	0.2272456471
619	0.2271356004
620	0.2270425599
621	0.2268484952
622	0.2266691191
623	0.2265316062
624	0.2264347398
625	0.2263013477
626	0.22617807
627	0.2260436007
628	0.2258596346
629	0.2256784145
630	0.2255374564
631	0.2254247959
632	0.2252913647
633	0.2251526954
634	0.2250620267
635	0.2248297643
636	0.2247453121
637	0.2246221765
638	0.2244510004
639	0.2243529381
640	0.2242320211
641	0.2241098084
642	0.223985743
643	0.2238723139
644	0.2237532166
645	0.2235678978
646	0.2234354467
647	0.2232890231
648	0.2231848479
649	0.223084286
650	0.2229868015
651	0.2228100876
652	0.2226828884
653	0.2225853337
654	0.2224697377
655	0.2223717163
656	0.2222694082
657	0.2221745008
658	0.2220363148
659	0.2219534788
660	0.221867452
661	0.221779976
662	0.221667393
663	0.221530184
664	0.2213661743
665	0.2212388023
666	0.2211212856
667	0.2210351241
668	0.2209087184
669	0.2207735589
670	0.22069112
671	0.2205769025
672	0.2204472185
673	0.2203311693
674	0.2202181584
675	0.2201023638
676	0.2199934986
677	0.2199032617
678	0.2197967178
679	0.2195790236
680	0.219412112
681	0.2192836973
682	0.2192241753
683	0.219038991
684	0.218888201
685	0.2187462635
686	0.2186360022
687	0.2185037549
688	0.2183752381
689	0.2182325927
690	0.2181146458
691	0.2179852208
692	0.2179066892
693	0.217783817
694	0.2176407739
695	0.2175845943
696	0.2174516899
697	0.2173012946
698	0.2172072585
699	0.2170935361
700	0.2169859152
701	0.2168764524
702	0.2167563172
703	0.2166194671
704	0.2164840519
705	0.2163800958
706	0.2162546444
707	0.2161634604
708	0.2160400267
709	0.2159727102
710	0.2158675692
711	0.215780837
712	0.2156839731
713	0.2155959296
714	0.2154871003
715	0.2153714357
716	0.2152888659
717	0.215214238
718	0.2151231742
719	0.215011486
720	0.2149259326
721	0.2148030302
722	0.214693722
723	0.2145695366
724	0.2144623962
725	0.2143318598
726	0.2142503331
727	0.2141770606
728	0.2140467332
729	0.2139291667
730	0.213728627
731	0.213674922
732	0.2135623995
733	0.2134774351
734	0.2133855367
735	0.2132723596
736	0.2131570358
737	0.2130608481
738	0.212957683
739	0.2128855937
740	0.2127800546
741	0.2127103855
742	0.2125438372
743	0.2124581639
744	0.2123815294
745	0.2122870904
746	0.2121903914
747	0.2121012057
748	0.2120245058
749	0.2119476654
750	0.2118526381
751	0.211744257
752	0.2116423464
753	0.2115027429
754	0.2114266998
755	0.2112976572
756	0.2111687006
757	0.2110641439
758	0.2109132209
759	0.210821356
760	0.2106521695
761	0.2105610894
762	0.2104110585
763	0.2103061575
764	0.2102230835
765	0.2101183982
766	0.2099570063
767	0.2098457857
768	0.2097373504
769	0.2096118185
770	0.2094787325
771	0.2093302358
772	0.2091821627
773	0.2090440258
774	0.208887107
775	0.2087852684
776	0.2086017369
777	0.2084949203
778	0.2083797805
779	0.2082527578
780	0.2081513897
781	0.208057649
782	0.2079417011
783	0.20788618
784	0.2077559551
785	0.2076086261
786	0.2074578832
787	0.2073637715
788	0.2072351608
789	0.2071644424
790	0.2070998179
791	0.2070164749
792	0.20695516
793	0.2068207876
794	0.2067411223
795	0.2066661924
796	0.2065642196
797	0.2064863336
798	0.2062449215
799	0.2061175164
800	0.2060145158
801	0.2059317072
802	0.2058099219
803	0.2057026542
804	0.2055747455
805	0.2054436791
806	0.205337675
807	0.2052292526
808	0.205137809
809	0.2050370867
810	0.2049166683
811	0.2048326772
812	0.2047548298
813	0.2046670253
814	0.2045687388
815	0.2044529853
816	0.2043391753
817	0.2042305593
818	0.2040793734
819	0.20394496
820	0.2038976508
821	0.2037685081
822	0.203712113
823	0.2036364029
824	0.2035011116
825	0.2033940874
826	0.2032969375
827	0.2031916847
828	0.2030155012
829	0.2029755853
830	0.2028953999
831	0.2027607995
832	0.2026741898
833	0.2025277869
834	0.202407056
835	0.2022711212
836	0.2021536082
837	0.2020511801
838	0.2019509488
839	0.2018446377
840	0.2017111877
841	0.2016473421
842	0.2015230084
843	0.2014367021
844	0.2013557687
845	0.2012534019
846	0.2011255827
847	0.2008881137
848	0.2008061501
849	0.2007121079
850	0.2005656273
851	0.2004661649
852	0.2003895277
