iter	MAPE	MAE
0	0.9658490588	56.88698428
1	0.936487863	56.07621568
2	0.9050797629	55.11782503
3	0.8747479875	54.10554417
4	0.8462904573	53.20497526
5	0.8204833623	52.46722151
6	0.7932646031	51.62299063
7	0.7665558232	50.82801946
8	0.7404846908	50.01440918
9	0.7177833007	49.3971807
10	0.6926578605	48.67440763
11	0.6702555725	48.03490406
12	0.6515434795	47.44542737
13	0.6346953011	46.7992993
14	0.6173299862	46.17457107
15	0.5995578145	45.50494154
16	0.5817316971	44.8720934
17	0.5655677293	44.29827766
18	0.5528221939	43.85636571
19	0.5396434449	43.3571154
20	0.5257363388	42.8379661
21	0.5115510495	42.32638246
22	0.4970474157	41.83038357
23	0.4816464695	41.35784127
24	0.4710768403	40.98544645
25	0.4597740581	40.59574726
26	0.4488266715	40.23355262
27	0.4389283048	39.8444662
28	0.4265262414	39.43786722
29	0.4185050517	39.14524363
30	0.4086393018	38.75509717
31	0.4010008222	38.4050436
32	0.3944434118	38.09505465
33	0.3873297846	37.77674323
34	0.3812354977	37.49803922
35	0.3764237344	37.24587926
36	0.3698946474	36.91117707
37	0.3633555905	36.57475223
38	0.357303263	36.25223901
39	0.3526210069	35.97287149
40	0.3499292774	35.80391751
41	0.3469943905	35.61998327
42	0.3439214231	35.45699972
43	0.3410604143	35.25275601
44	0.3386637464	35.09792818
45	0.3364485216	34.94907071
46	0.3343001052	34.81423436
47	0.3317507543	34.68824938
48	0.3291512693	34.46455428
49	0.3267653108	34.32519731
50	0.324519055	34.2113852
51	0.3232930506	34.12391824
52	0.3215779117	34.00278513
53	0.3201342477	33.90313183
54	0.3180482485	33.72476966
55	0.3164217872	33.64819303
56	0.3148636228	33.55328533
57	0.3125885747	33.41336555
58	0.3111321793	33.3326092
59	0.3103831239	33.27242139
60	0.3091167693	33.10108308
61	0.3074106757	32.99872123
62	0.3061850311	32.8556024
63	0.3049860054	32.65966646
64	0.3040661749	32.60486831
65	0.3023250681	32.42781078
66	0.3012833726	32.31615981
67	0.2997075575	32.16506934
68	0.2983985362	32.05709043
69	0.2966026928	31.92657655
70	0.2952469425	31.77469179
71	0.2937655287	31.62963512
72	0.2933661009	31.5070842
73	0.2928566839	31.42882412
74	0.2925834024	31.37919608
75	0.2915059668	31.2469042
76	0.290742326	31.12543661
77	0.2909924239	31.09637187
78	0.2902744086	30.98130746
79	0.2895414891	30.86954393
80	0.2889109901	30.76795557
81	0.288642309	30.67248805
82	0.2882941002	30.61197025
83	0.287959649	30.52010011
84	0.2878614752	30.48224856
85	0.2870989358	30.37389051
86	0.2869202863	30.30783963
87	0.2864726383	30.26265358
88	0.2863792792	30.18664461
89	0.286077521	30.12702944
90	0.2859010339	30.10094351
91	0.2857955223	30.02934987
92	0.2856972678	29.95035777
93	0.285164984	29.86888724
94	0.284873346	29.8013794
95	0.284859545	29.77513694
96	0.2836761934	29.7310337
97	0.2835242086	29.71078987
98	0.2837097589	29.69918851
99	0.2833834041	29.66779065
100	0.2834389887	29.6132088
101	0.2831497202	29.58356346
102	0.2824791524	29.42928079
103	0.2814381763	29.3893007
104	0.281348939	29.37349172
105	0.2809880615	29.32200094
106	0.2799818071	29.2840302
107	0.2796382342	29.23729299
108	0.2796540136	29.19517333
109	0.2796182097	29.14173576
110	0.2786742371	29.10647023
111	0.27751066	29.0741135
112	0.2766583858	29.04144132
113	0.2758484593	29.01012429
114	0.2751041819	28.98065888
115	0.2746466601	28.84514588
116	0.2744720126	28.82650419
117	0.2738306001	28.80077053
118	0.2733687938	28.77900566
119	0.2737688178	28.74636171
120	0.2734481181	28.69276499
121	0.2733405775	28.67066336
122	0.2732686065	28.65663286
123	0.2732548033	28.6075641
124	0.2729181266	28.57765978
125	0.2728264878	28.55739695
126	0.2722860315	28.54849667
127	0.2723182949	28.53884995
128	0.271673389	28.37383961
129	0.2714884112	28.25929022
130	0.2712801954	28.24614208
131	0.2710787883	28.2065804
132	0.2699665345	28.04867682
133	0.2698265337	28.02184805
134	0.2697444702	28.00199882
135	0.2695243965	27.98126059
136	0.2694986263	27.89118048
137	0.2689662761	27.88272051
138	0.2681746775	27.86774043
139	0.2679869298	27.85605549
140	0.2676652953	27.83973328
141	0.2671389012	27.82184194
142	0.2666211576	27.8140007
143	0.2663628662	27.78664564
144	0.2659472775	27.76610066
145	0.264868441	27.75780272
146	0.2638943926	27.7397292
147	0.2640558864	27.704232
148	0.2636130376	27.6836337
149	0.2633786603	27.66633636
150	0.2628862637	27.57854409
151	0.2626948452	27.56830204
152	0.2627895012	27.56536589
153	0.262333886	27.55839299
154	0.2623633595	27.52329798
155	0.2621334434	27.50012988
156	0.2621135639	27.48658023
157	0.2619050923	27.47101409
158	0.2618209325	27.45831214
159	0.2617191681	27.44408877
160	0.2614852032	27.4408963
161	0.2612393034	27.42222168
162	0.2602554956	27.40400283
163	0.2602107701	27.39244726
164	0.2604902063	27.37140712
165	0.2604184468	27.35105203
166	0.259886038	27.344455
167	0.259205685	27.21474726
168	0.2594306025	27.19826323
169	0.259906252	27.18454328
170	0.2598421382	27.16231205
171	0.2596188135	27.15171928
172	0.2591900373	27.11847441
173	0.2591658977	27.10625127
174	0.2589409408	27.05831651
175	0.2588474936	27.05517675
176	0.2586048956	27.0432042
177	0.2580946131	27.02858177
178	0.2571727366	27.00916328
179	0.2570261484	26.89485334
180	0.2570554665	26.87771067
181	0.2568555517	26.87572572
182	0.2567229999	26.87210968
183	0.2568103744	26.85562801
184	0.2570202893	26.83732968
185	0.2569124983	26.83300494
186	0.2564462888	26.81585007
187	0.2563901225	26.80598674
188	0.2560731278	26.79201325
189	0.2558728452	26.78965131
190	0.2554806091	26.77692667
191	0.2553495452	26.77574907
192	0.2553543533	26.76372137
193	0.2550704381	26.74535992
194	0.2549236453	26.74383783
195	0.2548111525	26.74257727
196	0.2548599906	26.72822246
197	0.2549662929	26.72323376
198	0.2548456126	26.72206829
199	0.2547173379	26.71240649
200	0.2549339374	26.7072213
201	0.2549348635	26.7040997
202	0.2545176151	26.69343662
203	0.2541769329	26.68156116
204	0.253925936	26.66089222
205	0.2539613206	26.64268911
206	0.2538803151	26.63876678
207	0.2537862566	26.63787862
208	0.2536660872	26.63628277
209	0.2536321859	26.6331789
210	0.2535460287	26.62718908
211	0.2531852887	26.62199022
212	0.2528961441	26.60892645
213	0.2530084998	26.60660086
214	0.2526310925	26.60115245
215	0.2525741444	26.56273154
216	0.2523443882	26.54316283
217	0.2522992816	26.53781821
218	0.2521532972	26.52754334
219	0.2522185032	26.52519104
220	0.2522231426	26.52248483
221	0.2517025283	26.34947773
222	0.2514802541	26.34278668
223	0.2512323279	26.33442858
224	0.2504785372	26.32341102
225	0.2502169649	26.31672309
226	0.2495762044	26.305385
227	0.2494883857	26.30199003
228	0.2495749515	26.29878746
229	0.2489455284	26.28792855
230	0.2488772242	26.28339818
231	0.2489010113	26.28224598
232	0.2486709169	26.26345287
233	0.2484291598	26.25707341
234	0.2482101653	26.23887945
235	0.2480205449	26.22210964
236	0.2479714922	26.22018316
237	0.2478077818	26.21599177
238	0.2476689449	26.18600198
239	0.2471141388	26.17776652
240	0.2469042254	26.15771748
241	0.2467963703	26.15647539
242	0.2467421885	26.15586442
243	0.2466158636	26.14365139
244	0.2462419241	26.13903111
245	0.2462322314	26.1378676
246	0.246113942	26.13419453
247	0.2461419292	26.13330553
248	0.2460306482	26.12178117
249	0.2459535366	26.12109708
250	0.2456738134	26.11517457
251	0.24542132	26.11055288
252	0.2454278777	26.10979517
253	0.2453114212	26.10812669
254	0.245251967	26.10448678
255	0.2451588588	26.09371815
256	0.2450939923	26.09198037
257	0.2449773238	26.09065672
258	0.2446674608	25.9837479
259	0.2442060387	25.97787632
260	0.2439984342	25.88275388
261	0.2440070878	25.88220441
262	0.2439032303	25.88095305
263	0.2437924657	25.87932986
264	0.2436767676	25.79864015
265	0.2436087947	25.79788227
266	0.2435643997	25.79329563
267	0.2434397379	25.79084392
268	0.2433422093	25.78839397
269	0.243428256	25.77268043
270	0.2432377755	25.76845083
271	0.2432036943	25.76413092
272	0.2430918151	25.76294107
273	0.2430531511	25.76258005
274	0.2430402314	25.76204897
275	0.2429580165	25.76139643
276	0.2428535338	25.75883463
277	0.2429656654	25.74431253
278	0.2429253064	25.73981936
279	0.242903264	25.73908069
280	0.2429530401	25.69513097
281	0.2429429743	25.69440582
282	0.2428448191	25.69318154
283	0.2427518502	25.69107929
284	0.2426830997	25.69025753
285	0.2426997894	25.68981306
286	0.2426317548	25.68911771
287	0.2426952834	25.68372164
288	0.2427387267	25.64593339
289	0.2427161738	25.64555617
290	0.242673849	25.64287498
291	0.2426531253	25.64261151
292	0.2424863824	25.63217552
293	0.2420015047	25.48135382
294	0.2419917523	25.48086193
295	0.2416039221	25.47598422
296	0.2416777505	25.47215277
297	0.2416556174	25.47182214
298	0.2416427896	25.47132478
299	0.2413991517	25.39873072
300	0.2413984967	25.39763472
301	0.2413131001	25.38814366
302	0.2412876994	25.38740805
303	0.2412173074	25.38671357
304	0.2411973073	25.32230738
305	0.2411782628	25.32201142
306	0.2410283105	25.31805181
307	0.2408874317	25.31394051
308	0.240886604	25.31288513
309	0.2408691745	25.31253224
310	0.2408032581	25.31185991
311	0.2406058188	25.18167941
312	0.2405871333	25.18138642
313	0.2405747687	25.18085764
314	0.2405504456	25.18016913
315	0.2406054404	25.17682646
316	0.2404411017	25.16700639
317	0.2404461239	25.16606162
318	0.2406179672	25.14723021
319	0.2405797903	25.14602361
320	0.2405364778	25.14544703
321	0.2404780839	25.14482963
322	0.2404676946	25.14424487
323	0.2403700003	25.14123149
324	0.2403123159	25.14039346
325	0.2402540998	25.13869743
326	0.2401576163	25.13753445
327	0.2402697747	25.12876583
328	0.2402382118	25.12819354
329	0.2401481213	25.12624268
330	0.2401422651	25.12369629
331	0.2400589846	25.12279784
332	0.2401608212	25.09739685
333	0.2401909743	25.09709936
334	0.2401765485	25.09686619
335	0.2401580771	25.09645303
336	0.2393960932	25.08980082
337	0.2392904036	25.08649921
338	0.239187801	25.08329384
339	0.2390842998	25.08121502
340	0.2389857704	25.07812385
341	0.2391076136	25.05462193
342	0.2390787866	25.05361558
343	0.2390659948	25.0533542
344	0.2390490874	25.0525125
345	0.2389523803	25.05144199
346	0.2388523845	25.04564835
347	0.2388237428	25.04534006
348	0.2388390984	25.04481628
349	0.2387047358	25.04222333
350	0.2386447114	25.03955379
351	0.2386154066	25.03557558
352	0.2385479309	25.03406802
353	0.2384555667	25.02941314
354	0.2383558636	25.02754802
355	0.2382663423	25.02646633
356	0.2382201274	25.02460286
357	0.2381247473	25.02281288
358	0.2381464143	25.02247281
359	0.2380625805	25.01808993
360	0.2380114739	25.01712493
361	0.2380320075	25.01679708
362	0.2379383804	25.01515045
363	0.2378527207	25.01348866
364	0.2377599202	25.01055349
365	0.2376745566	25.00804971
366	0.2376099031	25.00718771
367	0.2375882114	25.00627676
368	0.237475364	25.00459855
369	0.2373904241	25.00353336
370	0.2372995743	25.00212287
371	0.2372116473	25.00075872
372	0.2370095816	24.98882907
373	0.2370239063	24.98828489
374	0.2370120635	24.98803017
375	0.2368104428	24.97624948
376	0.2367563902	24.97554038
377	0.2367683958	24.97503131
378	0.2366868174	24.9737527
379	0.2367587704	24.96874308
380	0.2365639458	24.95733668
381	0.2365880208	24.95699803
382	0.2365769094	24.95681242
383	0.2367050337	24.943739
384	0.2368090938	24.9238697
385	0.2367789115	24.91813277
386	0.2366291729	24.91654343
387	0.236446284	24.90575567
388	0.2363243512	24.90454214
389	0.236292912	24.90419834
390	0.2361261406	24.89425114
391	0.2359749013	24.8927879
392	0.2358106878	24.88280434
393	0.2356537453	24.87311233
394	0.2354990724	24.86370266
395	0.2354603312	24.86206285
396	0.2355673455	24.84507955
397	0.2356869053	24.82978391
398	0.2355193099	24.82782723
399	0.235370092	24.81872451
400	0.2352624112	24.81758866
401	0.23541903	24.80285859
402	0.2352947299	24.80161696
403	0.2351490111	24.79811152
404	0.2350038457	24.78929136
405	0.2348691627	24.78629315
406	0.2347502335	24.7852204
407	0.2349053285	24.76739777
408	0.2349004918	24.76718238
409	0.2346948081	24.75782758
410	0.2345078068	24.75625973
411	0.234497334	24.75567826
412	0.2344230009	24.75441164
413	0.2342868397	24.74903918
414	0.2341319491	24.74051266
415	0.2341944322	24.73722826
416	0.233670031	24.73341136
417	0.2335229577	24.72522218
418	0.2335882606	24.72209722
419	0.2330854933	24.71851675
420	0.2332593959	24.70582554
421	0.2331922109	24.7046043
422	0.2330534636	24.69676487
423	0.2332281307	24.68481112
424	0.2327763327	24.66508906
425	0.2329300898	24.64967082
426	0.2328121062	24.64727203
427	0.232698324	24.64495707
428	0.2326665128	24.644525
429	0.2326401682	24.64417227
430	0.2326016127	24.64260523
431	0.2327892472	24.59880183
432	0.2326817799	24.59659608
433	0.2328373981	24.58191377
434	0.2328222383	24.58162962
435	0.2327738594	24.58037163
436	0.2327534945	24.5795996
437	0.2326486572	24.57743462
438	0.232603679	24.57623858
439	0.2325939877	24.57600528
440	0.2324863021	24.57460275
441	0.2323862289	24.57257013
442	0.2323452578	24.57144708
443	0.2322408962	24.57009244
444	0.2322091506	24.56962744
445	0.2321149752	24.56778888
446	0.2320934552	24.56742414
447	0.2320020225	24.5660954
448	0.2319821542	24.56574431
449	0.2319685123	24.56501754
450	0.2320116221	24.56363336
451	0.2317925433	24.55974879
452	0.2317139316	24.55236315
453	0.2318794028	24.54194426
454	0.2320554166	24.53252041
455	0.2320121863	24.53210152
456	0.2321833553	24.52301001
457	0.2320974932	24.52151565
458	0.2320063682	24.51959851
459	0.2319281075	24.51841326
460	0.2320794155	24.50984716
461	0.2322263285	24.50152988
462	0.2323120883	24.49228175
463	0.232235295	24.4908175
464	0.2324013213	24.4835383
465	0.2323775234	24.48281205
466	0.2323005398	24.48147332
467	0.2324454152	24.47462646
468	0.2324084029	24.47270937
469	0.2323522235	24.47185653
470	0.2323018344	24.47110156
471	0.232459249	24.46461011
472	0.2324354731	24.46393789
473	0.2318793919	24.44084331
474	0.2314306661	24.4230643
475	0.2311000857	24.41303707
476	0.231034898	24.41230352
477	0.2309721931	24.41161234
478	0.2306321679	24.39867155
479	0.2304907447	24.39727394
480	0.2302474572	24.38899734
481	0.2299361522	24.37843869
482	0.2298011229	24.37713041
483	0.2298958037	24.36947678
484	0.2295814385	24.35710175
485	0.2296339802	24.34986477
486	0.2295432281	24.3488557
487	0.2296284175	24.34327921
488	0.2296819532	24.33676939
489	0.229734611	24.33050825
490	0.2296021106	24.32867085
491	0.2295032513	24.32734969
492	0.229559188	24.32134249
493	0.2296172766	24.31567577
494	0.2295225942	24.31107071
495	0.2294297835	24.30948975
496	0.2293386311	24.30852063
497	0.2292738413	24.3078485
498	0.2289820537	24.29875592
499	0.2287050406	24.29021603
500	0.2284548226	24.28080118
501	0.2283258933	24.27958131
502	0.2282419756	24.27867572
503	0.2280523115	24.27101973
504	0.2279728627	24.27013167
505	0.2279142538	24.26940001
506	0.2278527006	24.26865235
507	0.2278429775	24.26851144
508	0.2278374719	24.26829942
509	0.2278541709	24.26785654
510	0.2277760209	24.26699186
511	0.2277694593	24.26678862
512	0.227731071	24.26568092
513	0.2277167964	24.26547429
514	0.2276934486	24.26497163
515	0.2276277382	24.26414135
516	0.2275710734	24.26345469
517	0.2275111139	24.26275285
518	0.2274949469	24.26255191
519	0.2275122689	24.25977984
520	0.2275032612	24.25959802
521	0.2271604881	24.24828021
522	0.2269883482	24.24588074
523	0.2268904998	24.24449286
524	0.2267879879	24.24334682
525	0.226727039	24.24256646
526	0.2266705902	24.2413535
527	0.2266315492	24.24081002
528	0.2265905784	24.24028233
529	0.2264964778	24.23923389
530	0.2264712582	24.23901883
531	0.226467362	24.23865942
532	0.2263637677	24.2320157
533	0.2262952137	24.23131061
534	0.2262745091	24.2306819
535	0.2262355059	24.23014297
536	0.2262032136	24.22972517
537	0.2261376416	24.22904723
538	0.2260957889	24.22847605
539	0.2261012634	24.22834241
540	0.2261005322	24.22817156
541	0.2261447328	24.22569704
542	0.2259035188	24.21461021
543	0.225679785	24.20804514
544	0.2256325527	24.20736472
545	0.2255233541	24.20325467
546	0.2254727254	24.20258085
547	0.2253977635	24.20107785
548	0.225349313	24.1952623
549	0.2253088579	24.19486348
550	0.2251524054	24.18610057
551	0.2251390538	24.18549139
552	0.2250327011	24.18412121
553	0.224956209	24.18324516
554	0.2249425549	24.18265654
555	0.2248446974	24.1820759
556	0.224748448	24.18086157
557	0.2246687555	24.18033409
558	0.2245870752	24.17919688
559	0.224565784	24.17864094
560	0.2245255498	24.17348349
561	0.2245095117	24.1729389
562	0.2245849811	24.16754591
563	0.224545192	24.16263826
564	0.2244562117	24.1613233
565	0.2244170319	24.15658553
566	0.2243312784	24.15556079
567	0.2243834813	24.15012817
568	0.2243184993	24.14946423
569	0.2242517495	24.14885014
570	0.2241793709	24.14821261
571	0.2241418853	24.1436787
572	0.2240655042	24.14296089
573	0.2239887522	24.14223498
574	0.2239515389	24.13785918
575	0.2239863919	24.13257064
576	0.2240360177	24.12870086
577	0.2240715532	24.12804694
578	0.2240316924	24.12387482
579	0.2238962824	24.11791802
580	0.2237715521	24.11225506
581	0.2237986681	24.10774724
582	0.2236790123	24.10226429
583	0.2235613762	24.09692534
584	0.2236010162	24.09357161
585	0.2235637092	24.09305237
586	0.2235497364	24.09290795
587	0.2234371679	24.08774608
588	0.2233262529	24.08272485
589	0.2230153017	24.0700837
590	0.222836214	24.06709862
591	0.2228586494	24.06631567
592	0.2228465346	24.06297463
593	0.2227410646	24.05820026
594	0.222632129	24.05349121
595	0.2225084832	24.04776197
596	0.2222073283	24.03583083
597	0.2221401839	24.03421531
598	0.2221197089	24.03360139
599	0.2220236241	24.02925647
600	0.2219873256	24.0254495
601	0.2213194939	24.01777234
602	0.2212874083	24.01436585
603	0.221241747	24.01366231
604	0.2212118177	24.01041343
605	0.2212249582	24.01008464
606	0.22106605	24.00200414
607	0.2209141305	23.99427349
608	0.2209250754	23.99415297
609	0.2206244427	23.98246375
610	0.2206315058	23.98209197
611	0.2205473731	23.97829589
612	0.2205267844	23.97787476
613	0.2205332371	23.97752376
614	0.2204520629	23.97405357
615	0.2202452238	23.96712614
616	0.2201605117	23.96344264
617	0.2201456245	23.96067816
618	0.2201347339	23.96048792
619	0.2201288961	23.95988724
620	0.22003577	23.95861351
621	0.2199428166	23.95753793
622	0.2198742535	23.95420981
623	0.219838813	23.95354196
624	0.2197615926	23.95023971
625	0.2197523835	23.94806144
626	0.2196773582	23.9448602
627	0.2196045122	23.94175194
628	0.219501431	23.93625294
629	0.219432173	23.93324326
630	0.2193649371	23.9303212
631	0.2193440105	23.9274131
632	0.2193310317	23.92489696
633	0.2192332548	23.92407118
634	0.2191676996	23.92132158
635	0.2190978012	23.91850155
636	0.2189976814	23.91329656
637	0.2185181893	23.9054776
638	0.2184594198	23.90311211
639	0.2184480383	23.90236616
640	0.2183614687	23.90015973
641	0.2183060848	23.89940823
642	0.218291248	23.89705884
643	0.218168538	23.89503388
644	0.2180829147	23.89388708
645	0.2179633782	23.89192369
646	0.2175093194	23.88474687
647	0.2174913368	23.8833971
648	0.2174868318	23.88329008
649	0.2174303692	23.880896
650	0.2173745493	23.87846689
651	0.2173532755	23.87760539
652	0.2173006338	23.87535117
653	0.2172998727	23.87483488
654	0.2172991336	23.87433359
655	0.2172897571	23.87413861
656	0.2172807815	23.87395179
657	0.2172247987	23.87183024
658	0.2171607324	23.87117798
659	0.2171087331	23.86913885
660	0.2170582678	23.86715942
661	0.2169133758	23.86493544
662	0.2168309222	23.86391474
663	0.2167946086	23.86192358
664	0.2167925359	23.86184694
665	0.2166518747	23.85969088
666	0.2166500022	23.85962101
667	0.2167563854	23.85539404
668	0.2164767368	23.84495814
669	0.2164837611	23.8447064
670	0.2164824139	23.84454291
671	0.2164046581	23.84359312
672	0.2160355675	23.83707672
673	0.2154002348	23.83059477
674	0.2153673731	23.82871784
675	0.215358877	23.82868607
676	0.2153575734	23.82864319
677	0.2153546168	23.82857832
678	0.215353371	23.82853751
679	0.2153505143	23.82847522
680	0.2153294672	23.826842
681	0.21532823	23.8268032
682	0.2153165715	23.82652954
683	0.2153103265	23.8257605
684	0.2153061661	23.82568496
685	0.2153037277	23.82537053
686	0.2152041536	23.82307189
687	0.2152045389	23.82291391
688	0.2151557836	23.82245655
689	0.2150594281	23.82022812
690	0.2150134671	23.81978982
691	0.2150986694	23.81684171
692	0.2150967013	23.81680566
693	0.2150912789	23.81673832
694	0.2150886691	23.81644725
695	0.2150545091	23.8149023
696	0.2150458718	23.81308578
697	0.2149364554	23.81073979
698	0.2150258227	23.79803026
699	0.2150244842	23.79800246
700	0.2150350932	23.79790808
701	0.2150296454	23.7978316
702	0.2149355771	23.79589977
703	0.214896765	23.7944473
704	0.2148940904	23.794156
705	0.2148934319	23.79413226
706	0.2148800738	23.7937758
707	0.2148709961	23.79324708
708	0.2147215598	23.79090307
709	0.214720559	23.79087575
710	0.2147195873	23.79084924
711	0.2146447854	23.78994344
712	0.2147217499	23.78623001
713	0.2147203927	23.78619801
714	0.2147190748	23.78616694
715	0.2147115752	23.78537832
716	0.2145657601	23.78309917
717	0.2145762106	23.78300212
718	0.2145484537	23.78151252
719	0.2145448491	23.78145389
720	0.2145473077	23.78121975
721	0.2144180102	23.77916002
722	0.2143408545	23.77827313
723	0.214338562	23.77823388
724	0.2143388375	23.77800553
725	0.214339105	23.77778382
726	0.2143370947	23.77775312
727	0.2143368027	23.7777378
728	0.2143305878	23.7764857
729	0.2143280951	23.77643676
730	0.2142452939	23.77467082
731	0.2142446959	23.77465528
732	0.2142559864	23.77457946
733	0.2142385258	23.77416017
734	0.2142257599	23.7732696
735	0.2142255818	23.77308003
736	0.2142192002	23.77251584
737	0.2141861981	23.77219948
738	0.2142031809	23.77163343
739	0.2140882828	23.76979324
740	0.2140065216	23.76892578
741	0.2140033827	23.76882397
742	0.2140490816	23.76486113
743	0.2140590963	23.76480036
744	0.2140585746	23.76478532
745	0.2140549177	23.76456991
746	0.2140364011	23.7635799
747	0.2140331966	23.763378
748	0.2140331354	23.76336504
749	0.2140109972	23.76288413
750	0.2140108985	23.76271841
751	0.2140111075	23.76270477
752	0.2139910369	23.76227268
753	0.2139912765	23.76226056
754	0.2139989757	23.76219463
755	0.2139983055	23.76202963
756	0.2139191035	23.76033776
757	0.2138425398	23.75946038
758	0.2138498108	23.75939539
759	0.2138123244	23.75813589
760	0.2138102786	23.75795052
761	0.2137926964	23.75708711
762	0.2138906047	23.75309779
763	0.2138912636	23.75308644
764	0.2138709127	23.7526977
765	0.2135927084	23.7470833
766	0.2135860269	23.74695754
767	0.2134779942	23.74520773
768	0.2135218086	23.74147173
769	0.213513855	23.74133962
770	0.2135105051	23.74131642
771	0.2135086488	23.74116803
772	0.2134963082	23.74047021
773	0.2133182224	23.73771009
774	0.2133061745	23.73703374
775	0.2132944765	23.73637704
776	0.2132926104	23.73615294
777	0.2133824365	23.73228685
778	0.2133799115	23.73226767
779	0.2133789207	23.73207425
780	0.2133765852	23.73205638
781	0.2133690103	23.73186056
782	0.213368181	23.73167461
783	0.2133533888	23.7312746
784	0.2133526297	23.73109426
785	0.2133768244	23.72759852
786	0.2133760873	23.72742341
787	0.2133483055	23.72711913
788	0.2133425033	23.72694833
789	0.2133402961	23.72674876
790	0.2133631516	23.72302171
791	0.2133594133	23.72299968
792	0.2133841106	23.71986535
793	0.213381318	23.71966832
794	0.2132374517	23.71819578
795	0.2132367137	23.71803584
796	0.2131541094	23.71721334
797	0.2132539334	23.71333387
798	0.2130566341	23.71026441
799	0.212977592	23.70947171
800	0.2127869014	23.70651141
801	0.2126565594	23.70149356
802	0.2125538167	23.69766902
803	0.2123867404	23.69559027
804	0.2123659181	23.69384094
805	0.2123436674	23.69354487
806	0.2123220631	23.6932574
807	0.2123008532	23.69297617
808	0.2122221719	23.69216393
809	0.2120597939	23.69015716
810	0.2120174893	23.68911638
811	0.2121047831	23.68690591
812	0.2121033588	23.68675976
813	0.2119468518	23.6848295
814	0.2119285468	23.68452464
815	0.2120127293	23.68204712
816	0.2119895858	23.68176481
817	0.2118374055	23.67991257
818	0.2117955583	23.67856532
819	0.2117891961	23.67756875
820	0.2117715706	23.67732054
821	0.2117503543	23.67706195
822	0.2117325453	23.67682593
823	0.2117125436	23.67658215
824	0.2117039884	23.67636074
825	0.2118037974	23.67489945
826	0.2118556909	23.6740503
827	0.2118493086	23.67387662
828	0.211851686	23.67360656
829	0.2118844909	23.67109574
830	0.2119576385	23.66917728
831	0.2118536479	23.6677409
832	0.2118473134	23.66765043
833	0.2118405116	23.66749817
834	0.2115391199	23.66471134
835	0.2115300861	23.66467929
836	0.2115310171	23.66435552
837	0.2115247185	23.66420977
838	0.2114721735	23.66260892
839	0.2114514686	23.6614846
840	0.2114535559	23.66119642
841	0.2114848393	23.63070906
842	0.2114578839	23.62961799
843	0.2114501932	23.6291294
844	0.2114415085	23.6289597
845	0.2114016971	23.62850403
846	0.2114643118	23.6269088
847	0.2113737416	23.62536943
848	0.2113696778	23.62533535
849	0.211343055	23.62439609
850	0.2113217883	23.62356326
851	0.2113013561	23.62276309
852	0.2113554861	23.62088067
853	0.2113493401	23.62059879
854	0.2112689229	23.61959898
855	0.2111912505	23.61864224
856	0.2111175499	23.61669587
857	0.2111064168	23.61593724
858	0.2111001053	23.61567192
859	0.2110487528	23.61453122
860	0.2110091322	23.61338546
861	0.2109877185	23.61296334
862	0.2109894957	23.61277206
863	0.2109773411	23.61262636
864	0.2110067444	23.58527526
865	0.2109875592	23.58458635
866	0.211034903	23.58311272
867	0.2110024036	23.58291811
868	0.2109714089	23.58240191
869	0.2109648506	23.58176234
870	0.2109577839	23.58162751
871	0.210921841	23.58144362
872	0.2109157104	23.58083471
873	0.2108923602	23.57981379
874	0.2109022932	23.57978348
875	0.2108900782	23.57968183
876	0.2108715934	23.57945085
877	0.2107726034	23.57835
878	0.2107869338	23.57824415
879	0.2107665435	23.57750162
880	0.2107499297	23.57737404
881	0.2106829929	23.57642292
882	0.2106634731	23.5762212
883	0.2106486959	23.57407294
884	0.2106353752	23.57397736
885	0.2106515887	23.57390062
886	0.2105872227	23.5730977
887	0.2105553383	23.57292609
888	0.2105401377	23.57220893
889	0.2105413351	23.57211918
890	0.2105067012	23.57195594
891	0.2104730733	23.57179743
892	0.2104596105	23.57173661
893	0.2104129446	23.57106791
894	0.2103981287	23.56898401
895	0.2103911852	23.56884433
896	0.2103799763	23.567931
897	0.210332064	23.56740186
898	0.2102998735	23.566429
899	0.2103302624	23.54147972
900	0.2103097268	23.54070049
901	0.2102815532	23.54053202
902	0.2102562114	23.53960743
903	0.2102481358	23.53917686
904	0.2102178953	23.53902199
905	0.2102178143	23.53886206
906	0.2102256056	23.53882657
907	0.210094627	23.53000985
908	0.2101529849	23.52771161
909	0.2100522053	23.52620884
910	0.2100385581	23.52588791
911	0.2099936984	23.52453498
912	0.2097424907	23.51964336
913	0.2097242624	23.5179394
914	0.2097151623	23.51730751
915	0.2096759699	23.51680233
916	0.2096059734	23.51359103
917	0.2094825515	23.5053813
918	0.2094691804	23.50532381
919	0.2094545903	23.5050325
920	0.2094491382	23.50493773
921	0.2094438444	23.50484572
922	0.2094199401	23.50405637
923	0.2094078841	23.5039964
924	0.2092269453	23.49799299
925	0.2092108645	23.4978537
926	0.2091176176	23.49644525
927	0.209038869	23.49552289
