iter	MAPE	MAE
0	0.9048105078	9.088627172
1	0.8165726506	8.261187882
2	0.7362179477	7.501412784
3	0.665285879	6.837259005
4	0.5996674016	6.20871999
5	0.5420914687	5.665239558
6	0.4893211181	5.162875917
7	0.44318975	4.725556684
8	0.4020272673	4.331459301
9	0.3649916335	3.972053422
10	0.3316007294	3.64645259
11	0.3019093092	3.360649449
12	0.2750231626	3.096680421
13	0.2516670703	2.864497567
14	0.2314827056	2.668282309
15	0.2141733694	2.491678609
16	0.199935136	2.343208616
17	0.1877795819	2.214932369
18	0.1775409642	2.10501185
19	0.169966066	2.021814033
20	0.1637330303	1.94750835
21	0.1585036159	1.884205998
22	0.1545383391	1.835446239
23	0.1508986234	1.787730017
24	0.1483969788	1.752824031
25	0.146292661	1.723406136
26	0.144706958	1.700341847
27	0.1435002575	1.681122246
28	0.141751174	1.654741702
29	0.1401826358	1.630389512
30	0.1389222943	1.608657867
31	0.1381403875	1.595054689
32	0.1373261038	1.579789876
33	0.1367355168	1.569019936
34	0.1363227241	1.560313361
35	0.135726889	1.547721699
36	0.1353443523	1.538509228
37	0.1353475191	1.53579357
38	0.1351108966	1.529021175
39	0.1344001794	1.51648266
40	0.1338929719	1.507803537
41	0.1337346269	1.504292364
42	0.1334307797	1.498380266
43	0.1333144448	1.49585133
44	0.1331392484	1.491073557
45	0.1330031351	1.488015251
46	0.1329030093	1.484637352
47	0.1328106084	1.481640225
48	0.1325009929	1.47583722
49	0.1323229216	1.472275155
50	0.1322631846	1.470154057
51	0.1321376779	1.467241874
52	0.1320492524	1.464989191
53	0.1317893319	1.46062898
54	0.1316891867	1.458670791
55	0.1315578216	1.456633091
56	0.1315048252	1.454979143
57	0.1314874114	1.454243123
58	0.1313365172	1.451005759
59	0.1312536202	1.449255992
60	0.1311901481	1.447311319
61	0.1310967471	1.445402545
62	0.1309991688	1.443739575
63	0.1309190848	1.441554251
64	0.1308764723	1.440457155
65	0.1307353195	1.438148052
66	0.1305349716	1.434993378
67	0.130481354	1.433314899
68	0.1304451572	1.432109277
69	0.1303401885	1.429863008
70	0.1303099472	1.429227305
71	0.1302634999	1.427990217
