iter	F1	Logloss
0	0.6013845135	0.6918688619
1	0.5978794334	0.6905264288
2	0.6032473637	0.6894088996
3	0.5870363786	0.6885359388
4	0.6008628093	0.6873390106
5	0.6048718455	0.6863225733
6	0.6057385882	0.6850973227
7	0.6064388823	0.6840287291
8	0.6085499823	0.6829295183
9	0.6093485677	0.6818387293
10	0.6114318101	0.6807301086
11	0.6138697295	0.679609783
12	0.6139184848	0.6785854038
13	0.6109040604	0.6777225739
14	0.6111358466	0.6767602163
15	0.6109196636	0.6757888284
16	0.6112367704	0.6748355513
17	0.612585117	0.6741360459
18	0.6131246478	0.6734155601
19	0.6119598045	0.6727452335
20	0.6092547458	0.6718067773
21	0.6108394916	0.670864636
22	0.6137374411	0.670053906
23	0.6120264539	0.6691942025
24	0.6128820135	0.6682343534
25	0.6110239187	0.6676308264
26	0.6116987834	0.6667336906
27	0.612246924	0.6659141748
28	0.6130154885	0.6653306637
29	0.6145135062	0.6645398664
30	0.6154233688	0.6636542058
31	0.6168113636	0.6631209304
32	0.6182007259	0.6624922322
33	0.622685673	0.6617250838
34	0.6232762106	0.6609014651
35	0.625360622	0.660100875
36	0.6268128859	0.6594998359
37	0.6274445885	0.6587881487
38	0.6267996967	0.658210116
39	0.6275026449	0.6575142873
40	0.6265696994	0.6568486814
41	0.6278823707	0.6561801207
42	0.6288777532	0.6555318277
43	0.6289331687	0.6549483984
44	0.6306794367	0.6544084309
45	0.6297897897	0.6539048219
46	0.6305611118	0.6532327699
47	0.6316528658	0.6526527898
48	0.6327643503	0.6519900678
49	0.6340377439	0.6514081354
50	0.6356584709	0.6509186748
51	0.637846979	0.650344745
52	0.6369656359	0.6496745411
53	0.6377275235	0.6489965658
54	0.6392432037	0.6483525339
55	0.639196762	0.6477689564
56	0.6403194396	0.6473714961
57	0.6420918919	0.6469022353
58	0.6421064836	0.6464727701
59	0.6434761128	0.6461169647
60	0.6412634072	0.6456406971
61	0.6419015798	0.6451967446
62	0.6418242634	0.6447630472
63	0.6448946067	0.6441797086
64	0.6468236288	0.6436382487
65	0.6473754853	0.6430959816
66	0.6456845731	0.6426684965
67	0.6449884031	0.6421202365
68	0.6456247345	0.6415813517
69	0.6459876016	0.641250006
70	0.6476932121	0.6407780146
71	0.6482111551	0.6403098112
72	0.6497508693	0.6398432224
73	0.6512032252	0.639355105
74	0.6498453273	0.6388876315
75	0.6518807129	0.638342447
76	0.651439644	0.6379582219
77	0.6519279981	0.6374505552
78	0.6503358137	0.6371151673
79	0.6510614562	0.6367689715
80	0.6512897252	0.6363339798
81	0.6511950974	0.6358471073
82	0.6512897252	0.6355557296
83	0.6535106623	0.6350778485
84	0.6531317321	0.6345642216
85	0.654860211	0.6342343383
86	0.6547653776	0.6338838796
87	0.6545231865	0.6334162085
88	0.6541859203	0.6329686623
89	0.6559567702	0.6324867057
90	0.6554297891	0.6321982436
91	0.656487213	0.6319378117
92	0.6567758301	0.6315758067
93	0.6579753595	0.6312383079
94	0.6566841313	0.630941652
95	0.6574949598	0.6305554191
96	0.6572543978	0.6301573838
97	0.6573495385	0.6297625168
98	0.6581614324	0.6294379029
99	0.6586876667	0.6290398736
100	0.6589766767	0.6287303941
101	0.6594554218	0.6283250293
102	0.6595030595	0.62809844
103	0.659359123	0.6277080182
104	0.6596460139	0.6272978009
105	0.6595507041	0.6269720431
106	0.6601237462	0.6267947986
107	0.6600761011	0.6264405024
108	0.6623615451	0.6261014668
109	0.6619823959	0.6257793943
110	0.6616969768	0.6253834488
111	0.6623138235	0.6251288484
112	0.6640242194	0.6247373741
113	0.6645436045	0.624236794
114	0.665117626	0.6239469992
115	0.6657796032	0.6236756361
116	0.6644991901	0.6233103591
117	0.664550445	0.6229475489
118	0.6651215403	0.6227043587
119	0.6651734242	0.6223432971
120	0.6677303871	0.6220279646
121	0.6690492371	0.6217045914
122	0.6695226386	0.621502302
123	0.6692896966	0.621103602
124	0.6708368893	0.6208303084
125	0.6707406472	0.6205462207
126	0.670933159	0.6201560356
127	0.6711739542	0.6198343798
128	0.6707012177	0.6193703454
129	0.6718779644	0.6191009613
130	0.6716370703	0.6187986197
131	0.671540761	0.6185798736
132	0.6710776154	0.6183841413
133	0.6718779644	0.6180302892
134	0.6715501656	0.6178154362
135	0.6724364609	0.6174485086
136	0.6726292965	0.6171808498
137	0.673765994	0.6168515207
138	0.6746971233	0.6164745885
139	0.6739961006	0.6162710284
140	0.6753489215	0.616034009
141	0.6749265062	0.6157202969
142	0.6734390478	0.6154041887
143	0.6756873935	0.6150234804
144	0.675661578	0.614737361
145	0.6767464747	0.6143567245
146	0.6774099045	0.6140443363
