iter	MAPE	MAE
0	0.9377048833	1002720.783
1	0.8779735887	951225.4339
2	0.822272346	906130.5503
3	0.7699126191	859651.5389
4	0.7201620595	818520.6957
5	0.6738331339	780440.2692
6	0.6304674679	744175.4417
7	0.5884254415	707442.7328
8	0.553171053	677118.0152
9	0.5208486537	648090.087
10	0.4897915022	619120.3798
11	0.4623272527	594203.7989
12	0.4370193978	568687.4965
13	0.4154299146	547915.1341
14	0.3955411468	526887.5226
15	0.3771667056	506442.9265
16	0.3613717481	488918.9136
17	0.345445389	470802.5711
18	0.3306945087	452431.5594
19	0.3168051039	435962.8176
20	0.3036891266	420314.9216
21	0.2922020279	405723.6537
22	0.2824393768	393224.6151
23	0.2732728011	380677.323
24	0.2646568469	368899.3151
25	0.2577602433	358589.302
26	0.2500321085	347857.149
27	0.2450325373	340105.6536
28	0.2391052366	331480.9992
29	0.2336150409	322888.7522
30	0.2300752827	316927.8601
31	0.2262636439	310824.0099
32	0.2225178265	304615.8332
33	0.2199504083	299877.5869
34	0.2161126946	293537.2518
35	0.2133711125	288630.6893
36	0.2100584741	282739.2934
37	0.2072880892	277594.4097
38	0.2043932879	272200.199
39	0.2020490576	268040.8768
40	0.1995344309	263217.601
41	0.1974762555	259387.7217
42	0.1957249514	256008.1655
43	0.193981427	252692.217
44	0.1926811937	249767.1215
45	0.1913811217	247100.2298
46	0.189943816	244309.3127
47	0.1886417815	241842.1857
48	0.1874315035	239496.8019
49	0.1859012141	236374.4414
50	0.1845732809	233709.7925
51	0.1834828858	231544.6408
52	0.1825308926	229612.0858
53	0.1814108885	227339.4289
54	0.1805116584	225494.4324
55	0.1797663286	223953.2049
56	0.1786269847	221568.9448
57	0.1781911663	220400.5776
58	0.1772223974	218610.5185
59	0.1764106201	216936.2816
60	0.1756716108	215460.23
61	0.1750403171	214161.8366
62	0.1744849684	213066.6506
63	0.1738701528	211700.7733
64	0.1734931347	210873.9206
65	0.1727800929	209395.8851
66	0.1723774078	208529.9425
67	0.1717554063	207255.8996
68	0.1713671538	206455.9766
69	0.1711211728	205895.6991
70	0.1705324042	204653.2862
71	0.1701364094	203783.5671
72	0.1697225398	202938.0695
73	0.1692715734	202079.5779
74	0.1690209089	201603.719
75	0.1685952687	200810.5044
