iter	MAPE	MAE
0	0.9375670249	997123.3282
1	0.878254735	946310.5004
2	0.8235670369	899977.1913
3	0.7715494802	853822.5855
4	0.7214948703	813005.2927
5	0.6748153813	772733.6065
6	0.6317670926	737376.733
7	0.5901385303	701851.9672
8	0.5542744176	671820.1854
9	0.5213769916	642658.548
10	0.4915253928	614084.2623
11	0.4636172524	589341.3808
12	0.4394415568	566973.3227
13	0.4176378178	546304.4608
14	0.396960669	525244.6356
15	0.3769695328	503628.025
16	0.3604731968	486096.2951
17	0.3452130562	469305.2256
18	0.3294041624	450645.9961
19	0.3154830475	434321.3193
20	0.302854697	419249.7803
21	0.2921704292	405771.0814
22	0.2845774279	395930.6372
23	0.2749981635	383651.3435
24	0.2657217225	371215.332
25	0.2586148379	361174.7615
26	0.2510150515	350393.006
27	0.2445476254	341041.1549
28	0.2401365853	334316.7577
29	0.235024764	326421.7552
30	0.229699592	317962.1685
31	0.2256506449	311412.6648
32	0.2223652986	305659.0179
33	0.2188953169	299734.7193
34	0.2156803835	293955.1086
35	0.2129292969	288883.681
36	0.2099651892	283431.9327
37	0.2067866742	277953.1357
38	0.2041160849	272959.707
39	0.2015325369	268300.5516
40	0.1995061244	264386.4556
41	0.198294215	261550.1905
42	0.1966454574	258306.9307
43	0.1944163517	253957.535
44	0.1928017487	250800.1246
45	0.1912095177	247495.8325
46	0.1894813063	243989.9535
47	0.1883548264	241561.0642
48	0.1871063465	238864.6348
49	0.1859815204	236357.382
50	0.1848670798	234073.0533
51	0.183756577	231702.5919
52	0.1824224195	229255.0236
53	0.1813767409	227007.1558
54	0.1801253699	224567.7246
55	0.1790733284	222553.7338
56	0.1783136502	221039.4243
57	0.1774316414	219243.2936
58	0.1764621463	217396.0496
59	0.1756947234	215850.8592
60	0.1750177589	214349.7619
61	0.17445098	213286.4964
62	0.1738103081	211963.7839
63	0.1730304673	210522.4807
64	0.1725569814	209524.3802
65	0.1720261662	208407.4987
66	0.1716423686	207640.9342
67	0.1708393948	206186.5403
68	0.1702793347	204942.4907
69	0.1699353868	204242.6058
70	0.1694854038	203446.5845
71	0.16911019	202721.185
72	0.1685203071	201737.5371
73	0.1681756114	200946.6114
74	0.1676388624	199792.2728
75	0.1671882059	198926.8785
76	0.1669043031	198451.9998
77	0.1664121618	197515.9984
78	0.1661730767	197107.8537
79	0.1659432658	196636.9888
80	0.1655970068	196086.8349
81	0.1652827856	195396.5767
82	0.1650480283	194996.5116
83	0.1648048007	194649.1541
84	0.1643891552	193913.8172
85	0.1641416625	193452.9725
86	0.1637734607	192702.5814
87	0.16363438	192487.5777
88	0.1634397302	192114.3508
89	0.1631818207	191597.8497
90	0.1628757901	191100.5824
91	0.1626053114	190646.4439
92	0.1622430969	189949.3901
93	0.1620568651	189660.7343
94	0.1617841643	189208.1485
95	0.1613109567	188400.6611
96	0.1610383378	187858.5293
97	0.1608638259	187507.7391
98	0.1606801656	187182.8401
99	0.1604558681	186887.2756
100	0.1601759396	186444.5416
101	0.160049376	186211.3481
102	0.1598508173	185986.2743
103	0.1596199629	185546.9272
104	0.1592319426	184976.2633
105	0.1590223264	184614.4884
106	0.1587624305	184205.0399
107	0.1585668449	183854.8043
108	0.1582832792	183500.4825
109	0.1581907402	183338.5304
110	0.1579284641	182919.4143
111	0.1577400311	182632.1263
112	0.1574590234	182177.1375
113	0.1572266214	181925.8061
114	0.1570455693	181599.8105
115	0.1569447123	181499.354
116	0.1566934421	181212.4608
117	0.1565238727	180863.5783
118	0.1564098955	180731.309
119	0.1562924217	180559.8477
120	0.1561018136	180318.2165
121	0.1559076133	179938.5556
122	0.1557231456	179719.5347
123	0.155541143	179459.7489
124	0.1554481487	179401.2152
125	0.155321886	179214.7461
126	0.1551412652	179002.6121
127	0.1549536353	178774.2742
128	0.154681241	178375.6727
129	0.1545128734	178093.3179
130	0.1544028936	177979.4796
131	0.1542135844	177766.904
132	0.1540458606	177506.3749
133	0.1538403052	177152.7622
134	0.1536161649	176858.0987
135	0.1534565682	176670.9687
136	0.1532371138	176467.253
137	0.1531589319	176386.4955
138	0.1530334982	176194.5771
139	0.1529365328	176060.6716
140	0.1527765586	175930.6027
141	0.1525439053	175645.5192
142	0.1524228996	175466.066
143	0.1522340111	175160.1969
144	0.1521104501	175001.414
145	0.151910448	174715.6069
146	0.1517495411	174534.6444
147	0.1516334911	174420.6222
148	0.1514519278	174239.0965
149	0.1513565442	174132.4748
150	0.1512080179	173921.6706
151	0.1511372327	173846.5903
152	0.1509497527	173546.5836
153	0.1508152523	173440.7174
154	0.1506016276	173210.3121
155	0.1505010864	173064.6991
156	0.1503272656	172812.364
157	0.1502198519	172740.0484
158	0.1501367823	172620.5278
159	0.1499877719	172411.396
160	0.1498617427	172265.0593
161	0.1497209557	172077.6836
162	0.1496193135	171906.7147
163	0.1495237452	171815.8446
164	0.1492687787	171385.2854
165	0.1491177501	171233.8779
166	0.1490157051	171061.9081
167	0.1488419365	170814.161
168	0.1487818244	170710.745
169	0.1486227442	170440.7095
170	0.1485021727	170288.5504
171	0.1484038763	170208.8507
172	0.1482883422	170011.5182
