iter	F1	Logloss
0	0.5990075594	0.6918419957
1	0.5851758609	0.6904573822
2	0.6013613996	0.6891386871
3	0.5884639242	0.6881124481
4	0.6002728478	0.6865041346
5	0.600354246	0.6853017236
6	0.5982150489	0.6841952179
7	0.5930022094	0.6831541054
8	0.5959085922	0.6820086603
9	0.6036799098	0.6806211563
10	0.6057032022	0.6792955758
11	0.6009594985	0.6785531162
12	0.601062156	0.6776162366
13	0.5998097731	0.6766072316
14	0.5970928745	0.6755468217
15	0.5980911455	0.674882195
16	0.6004821747	0.6738250909
17	0.600007382	0.6728770809
18	0.5977941318	0.672114413
19	0.5972532251	0.6713755534
20	0.6030813835	0.6705226216
21	0.6028450925	0.6696024354
22	0.6052617436	0.6686855487
23	0.6046382127	0.6679626519
24	0.6058160491	0.6669790931
25	0.6042271987	0.6662580364
26	0.6042785855	0.6655608057
27	0.6046430672	0.6647375288
28	0.6030686125	0.6641658098
29	0.605908532	0.6633298086
30	0.6064176935	0.6624317716
31	0.6080943459	0.661698554
32	0.605013209	0.6610633641
33	0.6037023748	0.6603601958
34	0.6038467563	0.6598525593
35	0.6036099208	0.659278322
36	0.6066494135	0.6585720424
37	0.6069741192	0.6579327932
38	0.6080014714	0.6572220313
39	0.6095375583	0.6565078887
40	0.6122215026	0.6557563282
41	0.6139796574	0.6551604538
42	0.6119498574	0.6545370543
43	0.6148664997	0.6540133495
44	0.6154572823	0.6535123997
45	0.6157436833	0.6529637071
46	0.6164259296	0.652448566
47	0.6149493556	0.6519044122
48	0.6194763192	0.651128378
49	0.6192242434	0.6505111868
50	0.6197870703	0.6500732093
51	0.6200013641	0.6494846511
52	0.6212709558	0.6488024551
53	0.6220917174	0.6480478139
54	0.6220447884	0.6475164901
55	0.6228984656	0.6470036008
56	0.6231668192	0.6466772471
57	0.6238243272	0.6461215966
58	0.6237634425	0.6455671533
59	0.6251145993	0.6449398633
60	0.6271030859	0.6444022452
61	0.6295848705	0.643982107
62	0.6319892377	0.6434203282
63	0.6321781657	0.6428327803
64	0.6308727692	0.6422685589
65	0.6324396065	0.6419259158
66	0.6316117204	0.6415197003
67	0.6322540005	0.6411208271
68	0.6325618283	0.6407296742
69	0.6330108041	0.6402380715
70	0.6352976536	0.6396635425
71	0.6358863015	0.6392998343
72	0.6368271141	0.6390251538
73	0.6354169206	0.6384474924
74	0.6367587196	0.6381071743
75	0.634781814	0.6378857446
76	0.6367637748	0.637510384
77	0.6365528672	0.6370545226
78	0.6386204056	0.6366128922
79	0.6393044536	0.6361084758
80	0.6426322355	0.6355772691
81	0.6427433771	0.6352398551
82	0.6416944649	0.6349392479
83	0.6426322355	0.6347110369
84	0.6457069851	0.6341140344
85	0.6455026307	0.6337400273
86	0.6469755956	0.6332817228
87	0.6472268627	0.6330147631
88	0.6474183994	0.6326274611
89	0.6501764266	0.6322083906
90	0.6512507034	0.6316408986
91	0.651835846	0.6312406434
92	0.6528751235	0.6308499819
93	0.6543378669	0.6304704785
94	0.6553651586	0.6301001731
95	0.6557510812	0.6296968249
96	0.657651845	0.6291528225
97	0.6583815145	0.6289126878
98	0.6582344276	0.6285937582
99	0.6576492814	0.6283195817
100	0.6584279962	0.6278933076
101	0.659254247	0.6275329618
102	0.6593996068	0.6271666829
103	0.6605162584	0.6267799649
104	0.6592530917	0.6266288583
105	0.659398579	0.6263995056
106	0.6594956062	0.6260658061
107	0.6603706619	0.6257915424
108	0.6624067822	0.6254391191
109	0.6612440186	0.6251450754
110	0.6612925867	0.6249093852
111	0.6626030534	0.624451708
112	0.6613911869	0.6241450105
113	0.662797827	0.6237144825
114	0.6640574484	0.6234249546
115	0.6634753301	0.6230531785
116	0.663764987	0.6227331751
117	0.6629439824	0.6222770702
118	0.6626517361	0.6220017591
119	0.662215293	0.6217069248
120	0.6631367016	0.6213399031
121	0.6626030534	0.6211637495
122	0.6632341458	0.6207680737
123	0.664636004	0.6203421039
124	0.6642005896	0.6199726959
125	0.6645872426	0.6196741891
126	0.6630392861	0.6193643223
127	0.663764987	0.6190558406
128	0.6647335482	0.6186560919
129	0.6644931796	0.618318093
130	0.6647372016	0.6178786704
131	0.666141374	0.6175910097
132	0.6675380298	0.6173489577
133	0.6675869694	0.6168581923
134	0.6671036149	0.6164592751
135	0.6698544521	0.6160720434
136	0.6689381636	0.6159706035
137	0.6694131707	0.6156333488
138	0.670524609	0.6151625742
139	0.6701896519	0.6148855457
140	0.670868325	0.6145765619
141	0.670720975	0.614314157
142	0.6710066076	0.6140082144
143	0.6711539562	0.6136378018
144	0.6713505217	0.613466311
145	0.6733160648	0.6130044322
146	0.6734033322	0.6127031563
147	0.6730208013	0.6124754555
148	0.6733921405	0.6121508524
149	0.6746850547	0.6118609837
150	0.6743898539	0.6115609811
151	0.6753490761	0.6113057213
152	0.6760255909	0.611037405
153	0.6757924784	0.610896537
154	0.6752141552	0.6104196965
155	0.67473428	0.6102287632
156	0.6746850547	0.6099777137
157	0.6761241878	0.6096654852
158	0.6771816671	0.6093255381
159	0.6768997581	0.6090329775
160	0.6768997581	0.6085990887
161	0.6776114896	0.6083658978
162	0.6768151728	0.6081760695
163	0.6766176045	0.607821191
164	0.6764833738	0.6073999365
165	0.6779574432	0.6071469848
166	0.6783037502	0.6069499573
167	0.6783037502	0.6066664966
168	0.6797912773	0.6064646053
169	0.6809301751	0.6061706931
170	0.6820858263	0.605917559
171	0.6825947317	0.6055063879
172	0.682185268	0.6051598371
173	0.6831720238	0.6049157626
174	0.6806500065	0.6046267962
175	0.6824149698	0.6043209941
176	0.6840277683	0.6040657427
177	0.6835502247	0.6038669991
178	0.6847333276	0.6036218464
179	0.6859644236	0.6034500907
180	0.6855094617	0.6032249609
181	0.6871169778	0.603040048
182	0.6876697312	0.6026355308
183	0.6880194986	0.6024149097
184	0.6881955399	0.6019869631
185	0.6894471815	0.6016755267
186	0.6893971104	0.6013842402
187	0.6886199283	0.6011284304
188	0.6881434343	0.6009160875
189	0.687816911	0.6007571083
190	0.6883437001	0.6004982389
191	0.6875636693	0.6001741171
192	0.6880911624	0.6000898184
193	0.6887445818	0.5998622835
194	0.6898734508	0.5996562391
195	0.6906751587	0.5993562536
196	0.6911510617	0.5990095398
197	0.6907755962	0.5988056486
198	0.6905245571	0.5985632797
199	0.6910241584	0.5982779406
200	0.6910743409	0.5981239104
201	0.6925727314	0.5977682905
202	0.6927234764	0.5976198221
203	0.6922486838	0.597393323
204	0.6923994124	0.5972069226
205	0.691773757	0.5970552924
206	0.6928240096	0.5968577033
207	0.6928240096	0.5966096228
208	0.6925502066	0.5963776955
209	0.6940463827	0.5960619412
210	0.6939243208	0.5959656788
211	0.6935217508	0.5958560919
212	0.6936223495	0.5956400179
213	0.695690303	0.5953681536
214	0.6947220593	0.5950888533
215	0.6950450386	0.5947092699
216	0.694692498	0.5945408396
217	0.6946213076	0.5944010536
218	0.6960125886	0.5941474092
219	0.6967068862	0.5937689915
220	0.6974507346	0.5935971493
221	0.6981757377	0.5934165436
222	0.6989010613	0.59314129
223	0.699592966	0.5929666227
224	0.6988504904	0.5928201395
225	0.7000651096	0.5926335324
226	0.6998460177	0.5924251545
227	0.7010596752	0.5922570562
228	0.6999638861	0.5920309238
229	0.7006384272	0.5919214517
230	0.7009583291	0.5917200469
231	0.7004702966	0.5915322492
232	0.7006384272	0.59137573
233	0.7003689558	0.5912149481
234	0.7005716666	0.591041213
235	0.70018417	0.5908602927
236	0.701465353	0.5906018814
237	0.7012468839	0.5904647178
238	0.7018207063	0.5903081484
239	0.7024962124	0.5901535718
240	0.7011805035	0.5900672742
241	0.7004886161	0.5899357416
242	0.7012820792	0.5896285623
243	0.7017039204	0.589493888
244	0.7032368394	0.5891887305
245	0.7026487864	0.5890485138
246	0.7034912889	0.5889217517
247	0.7036949811	0.5886753183
248	0.7032737411	0.5883850757
249	0.7045879031	0.5881373698
250	0.7042689469	0.5879612408
251	0.7044349832	0.5877523925
252	0.7039632024	0.5874517814
253	0.7039122709	0.5872534907
254	0.7052885019	0.5870790605
255	0.7052375436	0.5868224462
256	0.7060772644	0.586562575
257	0.705606523	0.5864465175
258	0.7058614485	0.5862664543
259	0.7061792662	0.5860404502
260	0.7062302781	0.5857749796
261	0.7067009677	0.5855840377
262	0.7072844586	0.5854200297
263	0.7077034967	0.5852253139
264	0.7076524365	0.5850097493
265	0.7073355067	0.5847322045
266	0.7076013838	0.5843737392
267	0.7079691403	0.5842121488
268	0.7081223568	0.5840514012
269	0.7079691403	0.5837880889
270	0.7083267486	0.583589784
271	0.707907811	0.5834377841
272	0.7078567214	0.5833353156
273	0.7076524365	0.5831425358
274	0.7076013838	0.5830502474
275	0.7085410389	0.5829013213
276	0.7087455081	0.5827313293
277	0.7082145038	0.5825621698
278	0.7083068232	0.582304033
279	0.7082044537	0.5821507701
280	0.7084604329	0.5818403312
281	0.7091967316	0.5816445262
282	0.7090942698	0.5814738068
283	0.7092479736	0.5812719388
284	0.7087774646	0.581093026
285	0.7093504799	0.5809102607
286	0.7097696267	0.5807652451
287	0.7108207049	0.580613448
288	0.7100347306	0.5804449418
289	0.7097696267	0.5803305225
290	0.7115471606	0.5801064364
291	0.7109233363	0.5799618168
292	0.7117085914	0.5797519899
293	0.7115471606	0.5796378313
294	0.7115985363	0.579363643
295	0.7119654553	0.5792037553
296	0.7120682527	0.5790392959
297	0.7134310435	0.5786327433
298	0.7125892738	0.5784661732
299	0.7136368569	0.5782073665
300	0.7134766106	0.5779944847
301	0.7137398081	0.5778915509
302	0.7139457997	0.5776611427
303	0.7144664002	0.5774992106
304	0.7145179507	0.5771930197
305	0.7144664002	0.5770570234
306	0.7148274101	0.5767677281
307	0.7150338654	0.5766143472
308	0.7154514588	0.5764330576
309	0.7154514588	0.5762613564
310	0.7154514588	0.5761443996
311	0.7157655555	0.5760249809
312	0.7160794281	0.5757799709
313	0.7172264388	0.575635927
314	0.7168098463	0.5754268656
315	0.7173815684	0.5752681861
316	0.7170683376	0.575145068
317	0.7171200582	0.5750191865
318	0.7183696479	0.5749570373
319	0.718214337	0.5747804388
320	0.7179532949	0.5746672757
321	0.7180050611	0.5744302778
322	0.7184214331	0.5742273837
323	0.7189412592	0.5739904895
324	0.7208121665	0.5737328789
325	0.7209159569	0.5735403441
326	0.7211755636	0.5733677702
327	0.7221098207	0.5732133828
328	0.7223687366	0.5729955024
329	0.7223167512	0.5728475698
330	0.7228874521	0.5727295226
331	0.7225247377	0.5725454034
332	0.7225767531	0.5723639427
333	0.7230435546	0.5721039719
334	0.7231476604	0.5718935326
335	0.7231476604	0.5717909272
336	0.7231476604	0.5716585648
337	0.7238725846	0.5714250094
338	0.7227848893	0.5711781069
339	0.7232517962	0.5710367313
340	0.7230956038	0.5708322198
341	0.7235623009	0.5706346586
342	0.7239767656	0.5704933559
343	0.7238227906	0.5702278793
344	0.7240288674	0.5700008157
345	0.7247560558	0.5697537634
346	0.7250659395	0.56946089
347	0.7252224924	0.5693310659
348	0.7260022645	0.5689497755
349	0.725793257	0.5687516763
350	0.7261068134	0.5685474088
351	0.7251770059	0.568221601
352	0.7250234632	0.5680750401
353	0.7246605704	0.5679411917
354	0.7252292805	0.5677004488
355	0.7249711773	0.5675778289
356	0.7253826285	0.5674153233
357	0.7252292805	0.5671760787
358	0.7257448238	0.5669560545
359	0.7256925568	0.5668114301
360	0.7272961953	0.5666394502
361	0.7269871229	0.566553503
362	0.7256440203	0.5664043487
363	0.7255430867	0.5662210423
364	0.7270442782	0.5660915733
365	0.7274583706	0.5659020611
366	0.7274059796	0.5657652745
367	0.7274059796	0.5656665262
368	0.7278198777	0.5654888344
369	0.7289031675	0.5652660559
370	0.7301945639	0.5650391492
371	0.7296768015	0.5649643988
372	0.7305546813	0.5649012596
373	0.7302995842	0.5647458022
374	0.7301493275	0.5646219241
375	0.7304571712	0.5644722159
376	0.7306148262	0.5643271871
377	0.7318000362	0.5639801188
378	0.7322122765	0.5638427286
379	0.7323175507	0.5636615732
380	0.7324664323	0.5634934759
381	0.7322122765	0.5633586428
382	0.7317474289	0.5632360282
383	0.7315454329	0.5629853337
384	0.7319052734	0.5628673334
385	0.7315454329	0.5627025439
386	0.7315454329	0.5626415485
387	0.7316506785	0.5624889767
388	0.7316506785	0.562341699
389	0.7315980519	0.5621055186
390	0.7322122765	0.5619412703
391	0.73252819	0.5617722025
392	0.7329403667	0.5616487859
393	0.732993064	0.5614850287
394	0.7329403667	0.5613480456
395	0.7329403667	0.5610799321
396	0.7336060397	0.5608647093
397	0.7337114701	0.5608089178
398	0.7337641967	0.5605189915
399	0.7338067944	0.5603860469
400	0.7337541024	0.5601542226
401	0.7336487412	0.5599776233
402	0.7334479509	0.5598155024
403	0.7345238716	0.5595887639
404	0.734787553	0.5593723471
405	0.7348930786	0.5591852264
406	0.7348930786	0.5590679748
407	0.7348930786	0.5589617836
408	0.734840312	0.5588769973
409	0.7353569657	0.558726548
410	0.7353041731	0.558521789
411	0.7354097658	0.558394371
412	0.7357679047	0.5582553825
413	0.735621042	0.5581683967
414	0.7354097658	0.5580536513
415	0.7365892617	0.5579280718
416	0.7364835743	0.5576833102
417	0.736430742	0.5574985712
418	0.736430742	0.5573285631
419	0.7363251001	0.557151436
420	0.7368411054	0.5570123935
421	0.7369996798	0.5568833062
422	0.7374099246	0.5568058272
423	0.7374628162	0.5565647742
424	0.7379787483	0.5563747194
425	0.737727388	0.5562336229
426	0.7381905242	0.5561020799
427	0.738349436	0.5558974788
428	0.7393285132	0.5556441561
429	0.7396852462	0.5555071118
430	0.7397235401	0.555136831
431	0.739973767	0.5549364491
432	0.7397765606	0.554710082
433	0.7396852462	0.5544751249
434	0.7399356678	0.5543306683
435	0.7398826245	0.554229593
436	0.7398826245	0.5540393043
437	0.7401858761	0.5538000279
438	0.7407011553	0.5535760782
439	0.7407542349	0.5533362882
440	0.7414820055	0.5532243824
441	0.7407853969	0.553019694
442	0.7407322317	0.5528000933
443	0.7411950573	0.552600106
444	0.7421735635	0.5522697913
445	0.7429917818	0.552005566
446	0.7422268137	0.551814074
447	0.7426893034	0.5516929439
448	0.7427958782	0.5514820348
449	0.743347335	0.5510775629
450	0.7435072484	0.5509212525
451	0.7443778584	0.550712479
452	0.7442711544	0.5505807818
453	0.7428491771	0.5504132094
454	0.7427958782	0.5503163635
455	0.7428491771	0.5501646572
456	0.7430091197	0.5500283313
457	0.7432049733	0.5496952513
458	0.7442711544	0.5493366409
459	0.7446447523	0.5490759548
460	0.744289487	0.5488728623
461	0.7445030984	0.5486687632
462	0.7448584052	0.548515199
463	0.7448049805	0.548241685
464	0.7459569424	0.5480122016
465	0.7461172485	0.5478189145
466	0.7452478583	0.5475856267
467	0.7460638055	0.5473719346
468	0.7473399328	0.547219583
469	0.7468459084	0.5470105113
470	0.7468459084	0.5468472267
471	0.7478753218	0.5465787511
472	0.7477146246	0.5463244625
473	0.7494278997	0.5460660027
474	0.7493743062	0.5458884008
475	0.749887897	0.545697797
476	0.7500796211	0.5454104114
477	0.7501332348	0.5452009832
478	0.749995158	0.544971619
479	0.7496423506	0.544755197
480	0.7500488	0.5445729975
481	0.7503171251	0.5442483497
482	0.7524839049	0.5440374463
483	0.7522397189	0.5437555775
484	0.7527278836	0.5435202854
485	0.7520784811	0.5433508525
486	0.7522689581	0.5431775686
487	0.7524839049	0.5429759479
488	0.7527816341	0.5426900838
489	0.7545084676	0.5423219948
490	0.7539144344	0.5421360178
491	0.7539682739	0.5419522887
492	0.7541298385	0.5416361476
493	0.7555326635	0.541409462
494	0.7546964079	0.5411758509
495	0.7562065088	0.5410233401
496	0.7565026154	0.5408393833
497	0.7562868213	0.5405916782
