iter	RMSE
0	164.6610765
1	159.9135252
2	155.5162501
3	150.9865855
4	146.5042208
5	142.3466613
6	137.9777048
7	134.3388319
8	130.43239
9	126.588302
10	123.0559009
11	119.3434358
12	115.8658595
13	113.1528468
14	110.4527111
15	107.7996077
16	105.4290995
17	102.8183335
18	100.47109
19	98.23174108
20	96.08893716
21	93.75026437
22	91.61309166
23	89.5814591
24	88.07114478
25	86.50136819
26	84.72480064
27	83.26309386
28	81.68055647
29	80.16848361
30	78.69441022
31	77.49076126
32	76.47820382
33	75.29927145
34	74.29823449
35	73.08959613
36	72.06233369
37	71.10736016
38	69.88968376
39	68.80952856
40	67.79742704
41	66.94213628
42	66.05197148
43	65.0770043
44	64.27177673
45	63.46426232
46	62.55394874
47	61.94215465
48	61.31753208
49	60.5169517
50	59.86294889
51	59.21828626
52	58.35809854
53	57.68562161
54	56.87110069
55	56.23402269
56	55.68363584
57	55.13504388
58	54.65143385
59	54.20714073
60	53.68964706
61	53.17795895
62	52.71438673
63	52.24220738
64	51.68015886
65	51.1012214
66	50.7425078
67	50.36014307
68	49.98552483
69	49.63998104
70	49.41325974
71	48.87877162
72	48.61679313
73	48.35074298
74	48.11451685
75	47.77840493
76	47.4886898
77	47.24108564
78	46.88599749
79	46.60009115
80	46.35416329
81	46.06568354
82	45.73920961
83	45.43336157
84	45.2020148
85	44.94838396
86	44.67086596
87	44.58919392
88	44.34487644
89	44.16373122
90	43.88974823
91	43.64804254
92	43.51179972
93	43.36480953
94	43.09198643
95	42.84707481
96	42.68683206
97	42.62008236
98	42.42713876
99	42.33943196
100	42.13541136
101	42.00112528
102	41.77129466
103	41.61940005
104	41.46999795
105	41.33902699
106	41.16073867
107	40.86845207
108	40.64091663
109	40.43169484
110	40.28703185
111	40.15230529
112	39.9958972
113	39.91489084
114	39.66949456
115	39.57354454
116	39.4279106
117	39.22376181
118	39.12658848
119	38.95928637
120	38.89191131
121	38.74640436
122	38.56937134
123	38.4392963
124	38.34385545
125	38.24208605
126	38.13184891
127	37.91795452
128	37.81372708
129	37.67154884
130	37.46912732
131	37.39678186
132	37.22370245
133	37.13200096
134	37.02777791
135	36.84655133
136	36.65666456
137	36.59269005
138	36.39861563
139	36.28029721
140	36.17151296
141	36.08331177
142	36.00141369
143	35.86213991
144	35.79350433
145	35.70604601
146	35.62402645
147	35.39116993
148	35.2448401
149	35.08731592
150	35.04786301
151	34.85824408
152	34.82440943
153	34.74006157
154	34.57565098
155	34.39790406
156	34.28236108
157	34.15918358
158	34.07377483
159	33.97124873
160	33.90334868
161	33.86164438
162	33.77034662
163	33.64151446
164	33.5067041
165	33.4213777
166	33.39101167
167	33.35170006
168	33.25565111
169	33.12632574
170	33.02246185
171	32.96021455
172	32.89700228
173	32.81435303
174	32.72627054
175	32.64800949
176	32.56807711
177	32.3222466
178	32.2484959
179	32.11266165
180	32.06588542
181	31.99497714
182	31.91243846
183	31.73262156
184	31.5831844
185	31.51496296
186	31.42743294
187	31.35375695
188	31.23934661
189	31.11009866
190	31.0805029
191	31.02256738
192	30.90824653
193	30.82169561
194	30.72279462
195	30.65852389
196	30.53830628
197	30.39032225
198	30.27016849
199	30.18440492
200	30.03521552
201	29.88465329
202	29.76025807
203	29.70257109
204	29.62110326
205	29.55425439
206	29.48025166
207	29.33633806
208	29.25782217
209	29.17263206
210	29.10260188
211	28.95489945
212	28.89438852
213	28.71668472
214	28.57587265
215	28.43582073
216	28.36341725
217	28.30036296
218	28.13839301
219	27.98762321
220	27.93369306
221	27.87528812
222	27.81324532
223	27.68842952
224	27.56861152
225	27.45174986
226	27.37464623
227	27.22640921
228	27.18348965
229	27.1215877
230	27.07031425
231	26.94469247
232	26.87494622
233	26.83124311
234	26.7593258
235	26.61598187
236	26.54887579
237	26.42978868
238	26.34643196
239	26.28336287
240	26.2237101
241	26.14329656
242	26.0300498
243	25.91937321
244	25.84442982
245	25.8034675
246	25.75725686
247	25.6580728
248	25.58673386
249	25.56907858
250	25.54788483
251	25.44473518
252	25.42413408
253	25.40416422
254	25.34119013
255	25.2479654
256	25.23203709
257	25.18170856
258	25.08343631
259	25.06449843
260	24.99738207
261	24.97896811
262	24.90240262
263	24.81344652
264	24.79599617
265	24.70247508
266	24.63292608
267	24.54626726
268	24.52945627
269	24.51315055
270	24.49733334
271	24.40603804
272	24.39057681
273	24.34864699
274	24.26042165
275	24.24529964
276	24.18365866
277	24.133843
278	24.11915274
279	24.05558035
280	23.96639738
281	23.85077272
282	23.81739557
283	23.80368941
284	23.77548343
285	23.70742693
286	23.62111351
287	23.54188743
288	23.47797045
289	23.42087388
290	23.36679863
291	23.3166736
292	23.25773844
293	23.20501618
294	23.1234981
295	23.04932673
296	23.0147236
297	22.95728557
298	22.90769848
299	22.81929852
300	22.78654092
301	22.75471454
302	22.67798282
303	22.6077372
304	22.56152736
305	22.53056336
306	22.42124809
307	22.39113504
308	22.37656729
309	22.36470553
310	22.3550099
311	22.28776087
312	22.2192621
313	22.19012944
314	22.17866025
315	22.16940832
316	22.15590519
317	22.06195906
318	21.99415555
319	21.90197523
320	21.843125
321	21.79439849
322	21.74735613
323	21.70191585
324	21.60972119
325	21.60096927
