iter	F1	Logloss
0	0.598137942	0.6915380045
1	0.6291115133	0.6899554174
2	0.6085779585	0.6886409401
3	0.5926139745	0.6875972422
4	0.6024696639	0.686108653
5	0.6035481181	0.6848658399
6	0.6018755249	0.683577926
7	0.6020106632	0.6825195056
8	0.6013432295	0.6810624549
9	0.5991499994	0.6799391139
10	0.6023769727	0.6785489829
11	0.6022801641	0.6777469986
12	0.599816529	0.6768799421
13	0.6000670574	0.6759852913
14	0.5956117988	0.6750483242
15	0.6030000142	0.6742107765
16	0.6048525087	0.6729109609
17	0.60696209	0.671989012
18	0.6062766225	0.6711601839
19	0.6056769073	0.6702121888
20	0.6062766225	0.669387585
21	0.6039818514	0.6686841933
22	0.6027420104	0.6676022162
23	0.604988504	0.6668250841
24	0.6055447422	0.6662070875
25	0.6099194885	0.6652238073
26	0.6111455168	0.6644488439
27	0.6136352653	0.6635082507
28	0.6150826029	0.6626771227
29	0.6181564224	0.661978543
30	0.6184234124	0.6611953813
31	0.6185066069	0.6604021644
32	0.6200654676	0.6595702003
33	0.6214107758	0.658679128
34	0.6210544033	0.6579611769
35	0.6224995312	0.657244456
36	0.6252676888	0.6564940337
37	0.627562519	0.6557571312
38	0.626095162	0.6553458298
39	0.6309206756	0.6546448881
40	0.6307364498	0.6540510973
41	0.6320568017	0.6532665092
42	0.6316168736	0.6527364336
43	0.6312894502	0.6522230056
44	0.6340920472	0.6515791661
45	0.6334420541	0.6510370877
46	0.6342773921	0.6503363491
47	0.6322810782	0.6497676528
48	0.6320496076	0.649058465
49	0.633211649	0.6483734777
50	0.6337908748	0.6477025484
51	0.6338605183	0.6470904538
52	0.6340688519	0.6465326977
53	0.6352720878	0.6459961807
54	0.6372139635	0.6454193791
55	0.6391908732	0.6448682239
56	0.6398038192	0.6443518466
57	0.641374903	0.6437713864
58	0.641031701	0.6434326301
59	0.6415313604	0.6431453964
60	0.6412350439	0.6426158632
61	0.6415779747	0.6419725585
62	0.6420766158	0.6416017821
63	0.6461539472	0.6408721195
64	0.6466577953	0.6401677295
65	0.6472653512	0.6394985217
66	0.6475106084	0.6388563314
67	0.6501096786	0.6384188252
68	0.649210776	0.6379320874
69	0.649735009	0.6375362825
70	0.6505316988	0.6371023778
71	0.6504378692	0.6366569449
72	0.6506639578	0.6362010117
73	0.6524350785	0.6356863477
74	0.6525223018	0.6351054632
75	0.6531483412	0.6346531438
76	0.6514165354	0.6342687868
77	0.6513143773	0.6340087416
78	0.651259219	0.6336422806
79	0.6538088965	0.6332660678
80	0.6539091186	0.6328419224
81	0.6541507584	0.6322995635
82	0.6540979874	0.6319920342
83	0.655483743	0.6316843682
84	0.6560124029	0.6311986653
85	0.6554881236	0.630879624
86	0.6583025248	0.6305060051
87	0.6575822397	0.6299968149
88	0.6577295049	0.6294461634
89	0.6571051377	0.6290642858
90	0.6586818307	0.6286592047
91	0.6593487712	0.6284040378
92	0.6606798077	0.6280443916
93	0.6594930174	0.6276491077
94	0.6602996994	0.6271799577
95	0.6609655091	0.6267594158
96	0.6631969705	0.6262789899
97	0.6621047331	0.6258600244
98	0.6610603119	0.6255139642
99	0.6599181607	0.6252237445
100	0.6616784576	0.6247950933
101	0.6642413142	0.6243937166
102	0.6657983188	0.6240423605
103	0.6649508098	0.6236252901
104	0.6650941532	0.6232864675
105	0.667546549	0.6229953775
106	0.6672652509	0.6226005267
107	0.6683957004	0.6223115767
108	0.6696603066	0.6219811637
109	0.6697962054	0.621645225
110	0.6705943127	0.6211657375
111	0.672802281	0.6209133004
112	0.6724181367	0.6206113845
113	0.672839862	0.6201341366
114	0.6731868645	0.6197399163
115	0.6729945178	0.6193429223
116	0.674223395	0.6189176062
117	0.6745125267	0.6185192766
118	0.6749949644	0.6182502748
119	0.6753814118	0.6178965663
120	0.6753814118	0.6175346738
121	0.6752006371	0.6172148647
122	0.6752489887	0.6169244861
123	0.6763708873	0.6166618306
124	0.6764541113	0.6164032149
125	0.6780911543	0.6161901994
126	0.6781730221	0.6158761367
127	0.6787873896	0.6155619507
128	0.6793213656	0.6151349633
129	0.6790951506	0.6148023259
130	0.6816299666	0.6143073563
131	0.6815506769	0.6139990829
132	0.6814534689	0.6137217453
133	0.6823710024	0.6132687375
134	0.6819519972	0.6129593317
135	0.6810163758	0.6126979945
136	0.6814534689	0.6124721671
137	0.68308172	0.6121617578
138	0.6832571358	0.6118435102
139	0.6836269637	0.6116169822
140	0.6828871002	0.6113209025
141	0.6850275523	0.6109368645
142	0.6855217239	0.6106600604
143	0.6860365986	0.6103979244
144	0.687557894	0.6101010898
145	0.6885861511	0.6096587417
146	0.6883653406	0.609342697
147	0.6897120648	0.6089985237
148	0.6895407934	0.6086969975
149	0.6912507541	0.6084110607
150	0.6925439134	0.6082178452
151	0.6918617335	0.6079835837
152	0.6925709923	0.6076748839
153	0.6932252345	0.6073759057
154	0.6942210602	0.6069141787
155	0.6943192686	0.6065994384
156	0.6949493509	0.6062910671
157	0.6944666333	0.6060566421
158	0.6960210173	0.6056447491
159	0.6962178489	0.6053654625
160	0.6969940294	0.6052372919
161	0.6960017398	0.6049467232
162	0.6960017398	0.6046664996
163	0.6956377308	0.6043099376
164	0.6957659336	0.6039677357
165	0.6975674855	0.6036762215
166	0.698361358	0.6034160648
167	0.6978008668	0.6031474131
168	0.6972713716	0.602806172
169	0.6994329101	0.6025772721
170	0.6992352069	0.6024156046
171	0.698294489	0.6021486303
172	0.7000589991	0.6018992498
173	0.7004211734	0.6015835633
174	0.7004706382	0.601427858
175	0.699449522	0.6010965838
176	0.6998612571	0.60092453
177	0.6991195372	0.6006430963
178	0.6985588824	0.6003532024
179	0.6987393465	0.6001917642
180	0.6987393465	0.5998878848
181	0.6980121281	0.5995242161
182	0.6980615679	0.5992171075
183	0.6979132697	0.5990149157
184	0.6995152403	0.5986844019
185	0.6998286521	0.5985799841
186	0.6999276576	0.5984090647
187	0.6996801964	0.598274398
188	0.6998123117	0.598056513
189	0.7010493874	0.5977698496
190	0.6998123117	0.5975254592
191	0.7009998014	0.59721821
192	0.7020221585	0.5968432034
193	0.7027957613	0.59669185
194	0.7035189053	0.5963654185
195	0.7035551817	0.5962199673
196	0.7054107988	0.5958972948
197	0.7037177696	0.5956681483
198	0.7036183234	0.5953143959
199	0.7034059736	0.5950353816
200	0.7044772453	0.5947186449
201	0.7051994603	0.5945493618
202	0.7055602659	0.5942803924
203	0.7062812742	0.5940263255
204	0.7063311338	0.593854773
205	0.705909269	0.5937202016
206	0.7053369028	0.5935068862
207	0.7060589474	0.5932711824
208	0.7067801871	0.5930123408
209	0.7069408096	0.5928072604
210	0.7062086893	0.5926032492
211	0.7056363109	0.5922920225
212	0.7058976495	0.5919177837
213	0.7064084441	0.5916450566
214	0.7069191704	0.5913606105
215	0.7073798137	0.5912011872
216	0.7071191693	0.5910192657
217	0.7077801303	0.5908617633
218	0.7076800087	0.5906364356
219	0.7071585319	0.5903910071
220	0.7077699481	0.5900879981
221	0.7081907623	0.5898182438
222	0.7083410537	0.5896488966
223	0.708641828	0.5894743429
224	0.7094629136	0.589198401
225	0.7097728019	0.5888493641
226	0.7097728019	0.5886513099
227	0.7103837786	0.5883146906
228	0.7107435064	0.5881655072
229	0.7101326732	0.5879836804
230	0.7111608498	0.5877085904
231	0.7120295576	0.5875119619
232	0.7112613249	0.5874060702
233	0.7109522805	0.5871908501
234	0.7111106229	0.5870722279
235	0.7113692146	0.5868838625
236	0.7109599849	0.5866125051
237	0.7113692146	0.5863914254
238	0.7115199081	0.5860805219
239	0.7112110838	0.5858813337
240	0.7109020437	0.5856733139
241	0.711720932	0.5853646348
242	0.7137203762	0.5851137499
243	0.7128473508	0.584856025
244	0.7125391391	0.5846334983
245	0.7145312871	0.5843846094
246	0.7141735133	0.5842210741
247	0.7139666801	0.5840919603
248	0.7136588568	0.5839340153
249	0.7137092469	0.583743355
250	0.7143750923	0.5836219648
251	0.7141682995	0.5833228647
252	0.7137036693	0.5831711275
253	0.7142691519	0.5828408191
254	0.7137036693	0.5825793299
255	0.7143649656	0.5823579313
256	0.7147233405	0.5822634328
257	0.7144154554	0.5820656627
258	0.7140063907	0.5818967243
259	0.7141578478	0.581736587
260	0.713799039	0.5815890191
261	0.7140568693	0.581399541
262	0.713698083	0.581206823
263	0.7132322398	0.5810988703
264	0.7144609547	0.5808603071
265	0.7145164564	0.5806675753
266	0.7150264539	0.5804770972
267	0.7149759172	0.5803385134
268	0.716404155	0.5801131207
269	0.7157387325	0.5800120525
270	0.716505403	0.5798247485
271	0.7161980937	0.5795677293
272	0.7156334528	0.5794544373
273	0.7165019853	0.5792834661
274	0.7166066795	0.5791060199
275	0.7167079848	0.5788420679
276	0.7172713271	0.5785952331
277	0.7174740268	0.5784960487
278	0.7177300307	0.5781656605
279	0.7185456005	0.5779848019
280	0.7184948816	0.5777979995
281	0.7189023939	0.5776097943
282	0.7185456005	0.5774808974
283	0.7191561514	0.5772450331
284	0.7192577045	0.5771256547
285	0.7196651749	0.5769294912
286	0.719817613	0.5767554821
287	0.7197659007	0.5765779882
288	0.7201226831	0.5764026219
289	0.7199701157	0.5761697691
290	0.7204792666	0.5760062796
291	0.7208356515	0.5757887867
292	0.7206830182	0.57567612
293	0.7206830182	0.5755681469
294	0.7205810361	0.5753861887
295	0.7197150488	0.5752137776
296	0.7199184996	0.5750306375
297	0.7197650069	0.5748777921
298	0.7191534201	0.5746962168
299	0.7207846614	0.574404366
300	0.7208355857	0.5742475803
301	0.7215483108	0.574043678
302	0.7216496614	0.5738655519
303	0.7217005899	0.5736869233
304	0.7231226934	0.5735262203
305	0.7222092739	0.5733809074
306	0.7223112173	0.5732238354
307	0.723224659	0.5730047249
308	0.7233795592	0.5728014783
309	0.7230240017	0.5727316958
310	0.7235307285	0.5726192505
311	0.7241922405	0.5724558894
312	0.7249531271	0.5723191771
313	0.7253588593	0.5721653652
314	0.7255122938	0.5719020113
315	0.7258193578	0.5715982099
316	0.7256146196	0.5715148141
317	0.7260202732	0.5714471311
318	0.7265750455	0.5712311476
319	0.7268777073	0.5710239373
320	0.7273849955	0.570866114
321	0.7274412491	0.570665072
322	0.7281541634	0.5704761069
323	0.7274975975	0.5703450152
324	0.7270968169	0.5700602568
325	0.7269941514	0.5699213087
326	0.7266394672	0.5697106309
327	0.7276054098	0.5695878901
328	0.7276054098	0.5694680916
329	0.7276567859	0.5693348796
330	0.7270502173	0.569204521
331	0.7265925398	0.5690496724
332	0.726190139	0.5688648543
333	0.7273536075	0.5687082917
334	0.7272043683	0.5686298575
335	0.7267979879	0.5684001631
336	0.7273536075	0.5681650269
337	0.7268961316	0.5680017967
338	0.7268961316	0.5677643417
339	0.7271529774	0.5675811946
340	0.7269988481	0.5674794121
341	0.7285709581	0.5672373864
342	0.7283652955	0.5670200916
343	0.7282681823	0.5668550819
344	0.7276619958	0.5667253758
345	0.7277648501	0.5666194089
346	0.7285254068	0.5664583911
347	0.7293882214	0.5662820016
348	0.7293882214	0.5660590604
349	0.7288796698	0.56596973
350	0.7293882214	0.5659004864
351	0.7288796698	0.5656014814
352	0.7297936422	0.5654006111
353	0.7298382785	0.5651894419
354	0.7304493313	0.5650220396
355	0.7308541932	0.5648274252
356	0.7316118245	0.5647212972
357	0.7319129747	0.5645822241
358	0.7320677701	0.5644562951
359	0.7316634125	0.5643634051
360	0.7310088937	0.5641931631
361	0.7307071127	0.5640028705
362	0.7314652402	0.5638117239
363	0.7315684605	0.5635655428
364	0.7322742658	0.5633436598
365	0.7323259079	0.5632651014
366	0.732076378	0.5630667247
367	0.7319816332	0.5629303468
368	0.7338585504	0.5627261782
369	0.7343663588	0.5626200495
370	0.7337131108	0.5625321173
371	0.7344700052	0.5623684934
372	0.7339621319	0.562210822
373	0.7347811198	0.5620173793
374	0.7346255295	0.5617417285
375	0.7337131108	0.5615685545
376	0.7352780261	0.5612722884
377	0.7362930396	0.5610714738
378	0.7360451496	0.5608180221
379	0.7368004448	0.5605707179
380	0.7369043854	0.5604027555
381	0.7373204409	0.5602215252
382	0.7375678504	0.5600791863
383	0.7369291033	0.5596945157
384	0.7372289788	0.5594855691
385	0.7375807143	0.5593774683
386	0.7370332374	0.5592599087
387	0.7370207867	0.5590267932
388	0.7366290182	0.5588845115
389	0.7365249195	0.5586785547
390	0.7368249986	0.5585776615
391	0.7370332374	0.5584265125
392	0.7370728237	0.5581099581
393	0.7362127998	0.5578937936
394	0.7380752819	0.5576585573
395	0.7380232213	0.5575815658
396	0.7376719289	0.5573962503
397	0.7379322538	0.5572423152
398	0.7378281018	0.5571676084
399	0.7384784673	0.5570174475
400	0.7383743182	0.5568219128
401	0.7379843409	0.5566715555
402	0.7386868536	0.5563791923
403	0.7388432205	0.5562519187
404	0.7384399117	0.5560165587
405	0.7386868536	0.5558349776
406	0.7385441579	0.5557726524
407	0.7385441579	0.5557355077
408	0.7386484335	0.5556018619
409	0.7395593999	0.5553164607
410	0.7394171327	0.5551947322
411	0.738804902	0.5550530877
412	0.7392083342	0.5548030114
413	0.7395593999	0.5547159696
414	0.7396638048	0.5545801243
415	0.7411550945	0.5544557087
416	0.7411550945	0.5543351456
417	0.7411550945	0.5541704678
418	0.7403131642	0.5540360037
419	0.7410661961	0.5539020066
420	0.741766222	0.5537852258
421	0.7422205199	0.5534238722
422	0.7412229812	0.5532859641
423	0.7412752576	0.5530795109
424	0.7417300038	0.5528775781
425	0.7417823125	0.5527296743
426	0.7414321312	0.5525477015
427	0.7415367505	0.5524026978
428	0.7418346286	0.5521496849
429	0.7417300038	0.5519160156
430	0.7421682278	0.5516586409
431	0.7423774403	0.5514657227
432	0.7432858116	0.5512883841
433	0.7444377265	0.5510450983
434	0.7447863938	0.5509137713
435	0.7442461058	0.5507057486
436	0.744542566	0.5505889247
437	0.7459886246	0.5504562824
438	0.7463365482	0.5502732015
439	0.7460411026	0.5500903798
440	0.7455355937	0.5499043656
441	0.7463365482	0.5495684535
442	0.746093588	0.5493172988
443	0.7471044683	0.5490358583
444	0.7470194678	0.5487502405
445	0.7468817565	0.5485063155
446	0.7469343602	0.5482753296
447	0.74703959	0.5481555163
448	0.7470194678	0.5477457092
449	0.7466714154	0.5474773999
450	0.7464283055	0.5471927412
451	0.7466714154	0.546992481
452	0.747092216	0.5467444348
453	0.7475982998	0.546568178
454	0.7472501385	0.5464719282
455	0.7471974903	0.5461919092
456	0.7473027942	0.5460688033
457	0.7482940419	0.5458506753
458	0.7485889355	0.545674879
459	0.7482940419	0.545395503
460	0.7482097189	0.5451939499
461	0.747566184	0.5450628295
462	0.7471124113	0.5448313209
463	0.7484206137	0.5446415371
464	0.7486843995	0.5444344603
465	0.74897953	0.5441940777
466	0.750316394	0.5439791891
467	0.7504748571	0.5438598219
468	0.7511389995	0.5436146246
469	0.7517795493	0.5434889947
470	0.7515387219	0.5433118302
471	0.7513800441	0.5431900853
472	0.7514329293	0.5430105085
473	0.7522318085	0.5427663474
474	0.7520441355	0.5425174482
475	0.7513506056	0.5423254755
476	0.7526839439	0.5420160886
477	0.7525780633	0.5418096096
478	0.7527368954	0.541612447
479	0.7536156756	0.5413473637
480	0.7534288866	0.5410451718
481	0.7524965175	0.5406858666
482	0.7524965175	0.5405664301
483	0.753294906	0.5403583015
484	0.7537998905	0.5401878132
485	0.7532668201	0.5398909222
486	0.7535599725	0.5395961063
487	0.7547565711	0.5392068143
488	0.7546504197	0.5389697277
489	0.7555799269	0.538638258
490	0.7563756066	0.5384279031
491	0.7561903044	0.5382557972
492	0.7561903044	0.5379824463
493	0.7567200706	0.5376891886
494	0.7571706283	0.5374851489
495	0.7570643438	0.5373061393
496	0.7583619287	0.536985553
497	0.7584683443	0.5368593271
498	0.7588119216	0.5366235664
499	0.7583906995	0.53633283
500	0.7591314039	0.536118046
501	0.7590781382	0.5359850551
