iter	F1	Logloss
0	0.5938192828	0.6917150108
1	0.6274775608	0.6902721011
2	0.625006663	0.6891780812
3	0.6205159653	0.688296719
4	0.6123592391	0.6870029096
5	0.6078440263	0.6858500598
6	0.607265532	0.6846852228
7	0.6074685141	0.6837520819
8	0.6045635414	0.6828034822
9	0.6061584379	0.6817158358
10	0.6130068244	0.6803203944
11	0.6142494626	0.6792929579
12	0.6133250655	0.6782822831
13	0.6116410928	0.6774501519
14	0.610019089	0.6765404398
15	0.6125046861	0.675707153
16	0.6113297159	0.6747134438
17	0.6167379732	0.6737163987
18	0.6188044819	0.6728826291
19	0.6197880656	0.6719647953
20	0.6228474327	0.6711975434
21	0.6212167184	0.6705108064
22	0.620518243	0.669683869
23	0.6199446557	0.66895151
24	0.6187853692	0.6683350089
25	0.6195697813	0.6675592006
26	0.6231405668	0.6668691253
27	0.6254173508	0.6657874894
28	0.6275904667	0.6651162261
29	0.6278668729	0.6644510725
30	0.6265542937	0.6637792637
31	0.629546864	0.66293285
32	0.6324555442	0.6624916378
33	0.6316189548	0.6620166979
34	0.6306229042	0.6613990127
35	0.6311720136	0.660542265
36	0.6340567659	0.6598483276
37	0.633801354	0.6592173907
38	0.6320604935	0.6587950045
39	0.6377565473	0.6581240579
40	0.6369307796	0.6576220385
41	0.6382025964	0.657081444
42	0.6379695391	0.6565392737
43	0.6363047849	0.6561024673
44	0.6387540318	0.6556484303
45	0.6387435641	0.6551041133
46	0.6389962666	0.6545938191
47	0.6401914619	0.6540738993
48	0.6400403193	0.6533512466
49	0.6423666296	0.6526975381
50	0.642102163	0.6521278878
51	0.6428187724	0.6518312923
52	0.6441876729	0.6512473235
53	0.6453522379	0.6507870006
54	0.6480148597	0.6502121857
55	0.6462681215	0.6497349531
56	0.6450778855	0.6490375054
57	0.6489547955	0.6485344255
58	0.6475947775	0.6481129821
59	0.6481017378	0.647590126
60	0.6532283986	0.6470009762
61	0.6533828014	0.646606692
62	0.6533765879	0.6460476564
63	0.6513646279	0.6454731359
64	0.6527556271	0.6450203353
65	0.6552538299	0.6444558602
66	0.6552538299	0.6441364455
67	0.6561181501	0.6435713279
68	0.6536311338	0.6431411012
69	0.6539617329	0.6427010717
70	0.6550551127	0.642222744
71	0.6544345977	0.6419685258
72	0.6551545427	0.6415103149
73	0.6553913397	0.6412034187
74	0.6559169168	0.6407260644
75	0.6574958704	0.6401198917
76	0.6589777664	0.639672292
77	0.6572614347	0.6391518265
78	0.6560630732	0.6389207552
79	0.6570658558	0.6386013809
80	0.6594519784	0.6380967024
81	0.6586405737	0.637630083
82	0.6591665462	0.6372342693
83	0.6591653364	0.6367388845
84	0.6600716929	0.6363515525
85	0.6594500485	0.6357930262
86	0.6595454117	0.6354683901
87	0.6606918187	0.6351680299
88	0.6615527248	0.634805944
89	0.6602134192	0.6342838095
90	0.662792672	0.6336655361
91	0.6620760918	0.6331990571
92	0.6616944983	0.6328451725
93	0.6626968647	0.6326485103
94	0.6632674611	0.6321881126
95	0.66484075	0.6318048076
96	0.6662113064	0.6312432021
97	0.6666810565	0.6308947274
98	0.6660240822	0.6305923519
99	0.66640836	0.6301602071
100	0.6668304078	0.6298068042
101	0.6656009581	0.6295219573
102	0.6668784526	0.6292674332
103	0.6647891139	0.6287996003
104	0.6645973611	0.6285641553
105	0.6671131462	0.628122132
106	0.6675878613	0.6278650329
107	0.6699995466	0.6274495675
108	0.6710036814	0.6271004387
109	0.6707141618	0.6267954511
110	0.6703453099	0.6265280674
111	0.6712635264	0.6261333401
112	0.671592953	0.6257792542
113	0.6724830009	0.6253914346
114	0.6728220087	0.625124884
115	0.6727251144	0.6247006657
116	0.6721642638	0.6243336615
117	0.6743037635	0.6239491328
118	0.6747291231	0.6235897486
119	0.6745833365	0.6229805215
120	0.6753847707	0.6226440762
121	0.6746319251	0.6224730046
122	0.6742066061	0.6221882073
123	0.6748263492	0.6218460429
124	0.6754461864	0.6214732597
125	0.6770481022	0.6211491104
126	0.6770968411	0.6207639709
127	0.6763313979	0.6204060245
128	0.6754333928	0.6200695449
129	0.6756279512	0.6197516882
130	0.6760041197	0.6193834892
131	0.6759067999	0.6190925116
132	0.6776528498	0.6187458732
133	0.6789570234	0.618228775
134	0.6792985512	0.6179948825
135	0.6797705505	0.6177246426
136	0.6806480344	0.6174132639
137	0.6817369819	0.6171819259
138	0.6816880651	0.6169368637
139	0.6816880651	0.6166081683
140	0.6813636583	0.6163984492
141	0.6817859057	0.6161994255
142	0.6807141533	0.6159422373
143	0.6819327193	0.6154286509
144	0.6825206064	0.6152482169
145	0.6827167941	0.6149339005
146	0.6847289409	0.6144985178
147	0.6858670387	0.6140050396
148	0.68609138	0.6137232787
149	0.6862118122	0.6133984038
150	0.6878470589	0.6131463485
151	0.6885146829	0.6127427237
152	0.6873734961	0.6123714224
153	0.6884636992	0.6121350494
154	0.6884636992	0.611799973
155	0.6891575532	0.6115573532
156	0.6891575532	0.6112389477
157	0.6888354822	0.6109901007
158	0.6896774655	0.610823379
159	0.691210497	0.610531489
160	0.6906416884	0.6101409284
161	0.6925913737	0.6098976942
162	0.6929608611	0.6096391599
163	0.6932308543	0.6094550664
164	0.693010502	0.6091990511
165	0.6920502288	0.608948616
166	0.6920502288	0.608785683
167	0.691210497	0.6084284615
168	0.6911113329	0.608206114
169	0.6926188048	0.6078795256
170	0.6921765795	0.6076770312
171	0.6902964528	0.607449166
172	0.6925965726	0.6070491555
173	0.6928175395	0.6069519544
174	0.6936067484	0.6066819939
175	0.6942459243	0.6064705742
176	0.6936067484	0.6062139034
177	0.6956510857	0.6058809666
178	0.6960693685	0.6055715684
179	0.6944739689	0.6054029393
180	0.6950629867	0.605295015
181	0.6951626352	0.6049206372
182	0.6955315602	0.604690946
183	0.6946234423	0.6044045082
184	0.695461752	0.604186303
185	0.6945030442	0.6040532144
186	0.694183021	0.6038534305
187	0.6953516754	0.6036264899
188	0.6955716036	0.6034281183
189	0.6959608526	0.6032495401
190	0.6963299752	0.6029263319
191	0.6971175802	0.6027754754
192	0.6967988443	0.6024663476
193	0.6981045515	0.6023139193
194	0.6977862317	0.6020433074
195	0.698622925	0.6018155358
196	0.6989909067	0.6015841707
197	0.6987231077	0.6013432649
198	0.6987732098	0.6010831355
199	0.6992414784	0.6008962767
200	0.6985552961	0.6007300337
201	0.6993919077	0.6005550045
202	0.7012291848	0.6001983749
203	0.7008621448	0.6000785555
204	0.6999769396	0.5997891894
205	0.7021783416	0.5996231659
206	0.7024942797	0.5994551915
207	0.7020276863	0.599212721
208	0.7027455397	0.5990296098
209	0.7037423744	0.5988351158
210	0.703326518	0.5985099333
211	0.7025947622	0.5981343878
212	0.7031618424	0.5977849473
213	0.7032121352	0.5976501095
214	0.7020631349	0.5972786933
215	0.7032624351	0.5971222307
216	0.7038429718	0.5968608136
217	0.7057063874	0.5964773579
218	0.7050772192	0.5963079551
219	0.7047749386	0.5960762003
220	0.7061099063	0.5957402748
221	0.7062613448	0.5955251312
222	0.7078709579	0.5951826315
223	0.706463364	0.5950359352
224	0.7063118388	0.5948188708
225	0.7071928536	0.5945568761
226	0.7081238444	0.5943921965
227	0.7083361282	0.5940923704
228	0.7093167226	0.5939158334
229	0.7095282662	0.5937458062
230	0.7094686901	0.5934635717
231	0.7085385277	0.5932297983
232	0.7090543177	0.5930587191
233	0.7095282662	0.5927578574
234	0.7096295506	0.5926675009
235	0.7096802037	0.5925229594
236	0.7094686901	0.5922337079
237	0.7102462113	0.5919591235
238	0.7103476204	0.5918156197
239	0.7098828883	0.5916011819
240	0.7100856887	0.5914387907
241	0.7095611573	0.5913236721
242	0.708883589	0.5911854198
243	0.710331071	0.590900357
244	0.7104916373	0.5907335212
245	0.710288605	0.5905044635
246	0.7107535463	0.590124419
247	0.711530608	0.5899140862
248	0.7117846998	0.589617478
249	0.7119372421	0.5893214685
250	0.7116830413	0.5892596674
251	0.7116322229	0.5891046266
252	0.7125611494	0.5887378158
253	0.7128727728	0.5885487511
254	0.7126628978	0.5884075937
255	0.7134386446	0.5881965086
256	0.7141574107	0.588033005
257	0.713178131	0.5877930845
258	0.7128219052	0.5876644607
259	0.7129236477	0.5873713645
260	0.7134386446	0.587185257
261	0.7139081072	0.5869312352
262	0.7143155275	0.58668433
263	0.7158123201	0.5864957323
264	0.7149878517	0.5862513822
265	0.7152428037	0.5861256124
266	0.7158593853	0.585910563
267	0.7158593853	0.5857997814
268	0.7163227797	0.5856341669
269	0.7156000422	0.5854899575
270	0.7158554311	0.5852696085
271	0.7151828415	0.5850612168
272	0.7156469864	0.5848128403
273	0.7159576377	0.5846061617
274	0.716677221	0.5843781081
275	0.7167795819	0.5842100343
276	0.7164179288	0.5839604776
277	0.7168307733	0.583841783
278	0.7171410312	0.5837209492
279	0.7184291497	0.5836089323
280	0.7180682652	0.5833661874
281	0.7191503094	0.5831195357
282	0.719047754	0.5829333573
283	0.7198193541	0.5826997768
284	0.7198706579	0.5825806523
285	0.7206930487	0.5823367183
286	0.7205901966	0.5821016857
287	0.7199732875	0.5819862685
288	0.7194581511	0.5818373145
289	0.7199211892	0.5814698405
290	0.7200239135	0.5813577497
291	0.7204354832	0.581235371
292	0.7217206027	0.5809364776
293	0.7212583675	0.5808349598
294	0.7212583675	0.5807215069
295	0.7211554516	0.5805360789
296	0.7206923367	0.5802138014
297	0.7201774744	0.5800916874
298	0.721052668	0.5798357222
299	0.7224416356	0.5796009079
300	0.721155635	0.5794799576
301	0.7216188046	0.5793326357
302	0.721978775	0.5792107507
303	0.7214647124	0.5790047606
304	0.7215677971	0.5788490251
305	0.7220827534	0.5787494462
306	0.7216193505	0.5785877407
307	0.7226492602	0.5784032146
308	0.7241910467	0.5782632891
309	0.7231641107	0.5781734287
310	0.7231658661	0.5780453325
311	0.7234741855	0.5778927454
312	0.7247082452	0.5776931818
313	0.7250674809	0.5775246887
314	0.7241936032	0.5773421617
315	0.7247570067	0.5769724681
316	0.7250642429	0.5769085268
317	0.7250125194	0.576852906
318	0.7250125194	0.5767488142
319	0.7252194577	0.5766112253
320	0.7254747388	0.5762683444
321	0.7244495537	0.5760035244
322	0.725633689	0.5757535489
323	0.7260962181	0.5755510251
324	0.7266060406	0.5753166262
325	0.7271668218	0.5751704074
326	0.7286028498	0.574904269
327	0.7290639934	0.5747532995
328	0.7288624968	0.5745909201
329	0.728453023	0.5744603022
330	0.7279914695	0.5743569653
331	0.7281991444	0.5741727447
332	0.7279969916	0.5739904704
333	0.7279450505	0.5738533877
334	0.7259446731	0.5736081092
335	0.7262040302	0.5734646127
336	0.7253298594	0.5732889219
337	0.7266623538	0.5730988523
338	0.7270727806	0.5728809689
339	0.726921821	0.5726785316
340	0.7262559239	0.5726170639
341	0.726307825	0.5726044276
342	0.7262040302	0.5724066245
343	0.72677069	0.5721537976
344	0.7270304361	0.5719946513
345	0.7262601	0.5717722286
346	0.7255928367	0.5715157168
347	0.7264635728	0.571259326
348	0.7261043186	0.5711125761
349	0.7257448616	0.5709612504
350	0.7271295283	0.5707038425
351	0.7275401206	0.570593829
352	0.7282048304	0.5704318354
353	0.7288167119	0.5703062651
354	0.7297397945	0.5700901501
355	0.7304540876	0.5699538834
356	0.729590494	0.5697109795
357	0.7300450015	0.5695558208
358	0.7304020368	0.56943025
359	0.7304540876	0.5692925225
360	0.7303499934	0.5691636858
361	0.729888926	0.569027469
362	0.730810933	0.5687106109
363	0.730810933	0.5685290063
364	0.7303499934	0.5683986286
365	0.7307588714	0.5682503365
366	0.7316803163	0.567942059
367	0.7319323679	0.5678579071
368	0.7319323679	0.567732551
369	0.7319844766	0.567605069
370	0.7326012506	0.5673861652
371	0.7318973709	0.5672822796
372	0.7323494454	0.5670533706
373	0.7322972847	0.5669537571
374	0.7319931046	0.5667150332
375	0.732045262	0.5665877967
376	0.733113716	0.5665066473
377	0.7336783423	0.566417135
378	0.7333225483	0.5662980606
379	0.7340339364	0.5661491762
380	0.7330709938	0.5659568473
381	0.733374775	0.5656352467
382	0.7331232247	0.565468149
383	0.7333322226	0.565205503
384	0.7334367663	0.5650861151
385	0.7340964494	0.5649586138
386	0.7329759536	0.5648369024
387	0.7330282111	0.5646666262
388	0.7333844908	0.5646102549
389	0.7331327482	0.5643115743
390	0.7339497598	0.5640760978
391	0.7341590688	0.5639377491
392	0.7347660856	0.5637208101
393	0.7349231648	0.5636185285
394	0.7370536205	0.5634011928
395	0.7365942104	0.563144453
396	0.7370536205	0.5629588871
397	0.7363966833	0.562797795
398	0.7360941106	0.5625693116
399	0.7369612551	0.562397511
400	0.7374208433	0.5622925084
401	0.7369612551	0.5621103725
402	0.7373683605	0.5618934414
403	0.7384310882	0.5617113416
404	0.7375783366	0.5614671604
405	0.7369737629	0.5611551308
406	0.7377884323	0.5609273813
407	0.738707583	0.56076504
408	0.7396788691	0.5605978798
409	0.7395735879	0.5603513379
410	0.740175702	0.5601831217
411	0.7399273906	0.559842692
412	0.7411983663	0.5596393573
413	0.7422735295	0.5593584316
414	0.7420261544	0.5591505419
415	0.7420261544	0.5589970661
416	0.7421317341	0.5587969212
417	0.7422373439	0.5585956863
418	0.7420954277	0.5583951345
419	0.7419897784	0.5583033175
420	0.742395815	0.5580567575
421	0.7431189335	0.5578529205
422	0.7436657962	0.5576009792
423	0.742907402	0.55745045
424	0.7441770127	0.5571599655
425	0.7442299451	0.5570379526
426	0.7438245176	0.5568704113
427	0.7440362516	0.556648425
428	0.7439833068	0.556530536
429	0.7440892039	0.556249628
430	0.7446536757	0.5559570858
431	0.7449530619	0.5556653947
432	0.7458163189	0.5555303846
433	0.7462742549	0.5553776904
434	0.7455703838	0.5552276364
435	0.7458693647	0.5549976735
436	0.7452181518	0.5549062438
437	0.7453242407	0.5547847272
438	0.746327326	0.5546398014
439	0.7462742549	0.5545070852
440	0.7462940035	0.5542714188
441	0.7469444948	0.5541317734
442	0.7472959976	0.5539389503
443	0.7472959976	0.5538176977
444	0.7476149306	0.5536468148
445	0.7483174656	0.5532744309
446	0.7484770945	0.5530867765
447	0.7492853991	0.5528990411
448	0.7491789019	0.5527544969
449	0.7490096833	0.5524356291
450	0.7500090763	0.5522438021
451	0.7495517746	0.5520841596
452	0.7500623992	0.5518630886
453	0.7504129109	0.5517474676
454	0.7508165766	0.5515804494
455	0.7507632261	0.5514431969
456	0.7509766734	0.5511661804
457	0.7519438731	0.550953318
458	0.7515404403	0.5508877521
459	0.7512436533	0.550796074
460	0.751457374	0.5506184859
461	0.7525610068	0.5505011448
462	0.7520507578	0.5502789073
463	0.7517541702	0.5500296227
464	0.7513802226	0.549674651
465	0.7518370187	0.5495447498
466	0.7514336209	0.549460215
467	0.7507864539	0.5492930134
468	0.7514870268	0.549000576
469	0.7519973117	0.5487276823
470	0.7515642799	0.5485007878
471	0.7522646185	0.5483091505
472	0.7526679872	0.5480775372
473	0.7533136543	0.5478268713
474	0.7527214889	0.5477351016
475	0.7524250938	0.5474256612
476	0.7524250938	0.5472523572
477	0.7527998026	0.5469412893
478	0.7526927049	0.5467455111
479	0.7524496327	0.5464923701
480	0.752717461	0.5462519073
481	0.7531212788	0.5460714024
482	0.7539284065	0.5458880462
483	0.7551378305	0.545710623
484	0.7550841448	0.5455466028
485	0.7547885339	0.5453067667
486	0.7546549341	0.5451477266
