iter	F1	Logloss
0	0.5810770241	0.691632131
1	0.6243925018	0.690160014
2	0.6087100049	0.689158228
3	0.6042338153	0.6882061912
4	0.6006411686	0.687074647
5	0.6058367128	0.6858289117
6	0.6042865215	0.6846817803
7	0.611112514	0.6837539183
8	0.6101989619	0.6827751695
9	0.6122055475	0.6815766371
10	0.6147309256	0.6803530236
11	0.6113379608	0.6794155465
12	0.6131854823	0.6783087106
13	0.6139371487	0.6774681711
14	0.6125820013	0.6765842667
15	0.610911646	0.675792976
16	0.6128664696	0.6748561382
17	0.6120558044	0.673880226
18	0.6162094927	0.6731246852
19	0.6173275065	0.6722280345
20	0.6167971644	0.6714942689
21	0.6207331829	0.6706358438
22	0.6159779704	0.6698650731
23	0.6183679741	0.6693144732
24	0.6159002583	0.6687219908
25	0.6177541465	0.6677663154
26	0.6186917197	0.6671777445
27	0.6200725617	0.6662955049
28	0.6217372693	0.6654928221
29	0.6224254155	0.6648503981
30	0.6216691961	0.6640943051
31	0.6225036576	0.6634581897
32	0.6262397971	0.6628192429
33	0.6271587852	0.6618241471
34	0.6265568113	0.6612349366
35	0.6241700792	0.6606970955
36	0.6233372849	0.6601225862
37	0.6236859398	0.6596558046
38	0.6266474458	0.6593055733
39	0.6271918035	0.6585895794
40	0.6271339786	0.6581213024
41	0.6277086677	0.6574708311
42	0.6300795725	0.65683666
43	0.6308880668	0.656385156
44	0.6317565777	0.6558472216
45	0.6308566696	0.6554395254
46	0.6326999461	0.6549306474
47	0.6332512669	0.6545135952
48	0.6302165681	0.6537856444
49	0.6327457359	0.6530781556
50	0.6349923698	0.6525518048
51	0.6350584105	0.6519690455
52	0.6375200833	0.651465834
53	0.6372908363	0.6509009934
54	0.6390378318	0.6501261914
55	0.641652689	0.6496419348
56	0.6413304843	0.6489409301
57	0.6415145616	0.6484545666
58	0.641668893	0.6484020717
59	0.6429740889	0.6478734586
60	0.6426366462	0.6472863125
61	0.6442293457	0.6467725305
62	0.6453885628	0.6462339346
63	0.6447308534	0.6458856572
64	0.647143264	0.645357288
65	0.6487565761	0.6449630379
66	0.6486179427	0.6442131627
67	0.6481813299	0.6436712246
68	0.6486179427	0.6431500245
69	0.6488128066	0.6427048417
70	0.6496269211	0.6424128365
71	0.6500234952	0.6419867731
72	0.649497796	0.6414512511
73	0.6509635516	0.6410461188
74	0.651156286	0.6405521125
75	0.6507871868	0.6400947963
76	0.6512869436	0.6396892268
77	0.6516106571	0.6391562397
78	0.6530672533	0.6386344978
79	0.6532063488	0.6382638412
80	0.6520808683	0.6377777663
81	0.6519346925	0.6375036023
82	0.6544764106	0.6371246776
83	0.6548994107	0.6366285106
84	0.6545692959	0.6362560183
85	0.6546622075	0.6358775222
86	0.6557407911	0.6354187237
87	0.6568658512	0.6349853404
88	0.6567227721	0.6347909813
89	0.6569062597	0.6345033697
90	0.6586002139	0.6341255099
91	0.657804196	0.63359912
92	0.6582264807	0.6331034782
93	0.6575217137	0.6326982995
94	0.6570057297	0.6323292927
95	0.6589770732	0.631904568
96	0.6596325584	0.6316133456
97	0.6585534741	0.6311950158
98	0.6588340128	0.6307901656
99	0.6583647125	0.6304860169
100	0.6602882347	0.6300107796
101	0.6595381574	0.6297552115
102	0.6604286169	0.6293793478
103	0.6613662661	0.6290033619
104	0.6622094298	0.6287686873
105	0.6620697992	0.6283841003
106	0.6619770116	0.6280804766
107	0.6637579009	0.6279068681
108	0.6635694841	0.6276660295
109	0.6621167997	0.6272918782
110	0.6629128515	0.6268802403
111	0.6667398818	0.6265740466
112	0.6666927016	0.6262156876
113	0.6674367637	0.6258586999
114	0.6684634922	0.6256375975
115	0.6687334309	0.625338762
116	0.6695221612	0.6249803584
117	0.6699951099	0.6245894048
118	0.6696716526	0.6242424376
119	0.6698214601	0.6240779555
120	0.6714471083	0.6237424703
121	0.6711150898	0.6235532569
122	0.6711625009	0.6231383464
123	0.6716750862	0.6228517132
124	0.6711239961	0.622550876
125	0.6720548808	0.6221344559
126	0.6724726071	0.6219447053
127	0.6725676621	0.6217621505
128	0.6734502484	0.6214285382
129	0.674343846	0.6210745444
