iter	MAPE	MAE
0	0.937395158	1002398.443
1	0.8791214734	950614.8551
2	0.8248264468	904559.1443
3	0.7731288263	861291.0204
4	0.7227050532	819994.2776
5	0.6767109607	780767.5587
6	0.6333882515	745429.899
7	0.5934091659	711339.7296
8	0.5558142706	677671.2858
9	0.522492253	646321.4778
10	0.4913367435	617321.5014
11	0.4631005775	590822.113
12	0.4377580461	567785.4222
13	0.4161828993	547207.1795
14	0.39645059	527935.3711
15	0.3782012729	508373.6919
16	0.3625205047	491813.9973
17	0.3478056869	475740.6578
18	0.3322022548	456944.6997
19	0.3196132189	441915.7396
20	0.3073415893	426991.9609
21	0.2963292728	413288.9499
22	0.2851679099	399212.0583
23	0.2754492314	386200.126
24	0.2664061829	373910.8104
25	0.2585859032	363079.8149
26	0.2517823912	353099.4189
27	0.2464746092	344632.4634
28	0.2412992485	336819.041
29	0.2367697978	329782.7219
30	0.231181047	320743.9602
31	0.226653728	313163.143
32	0.2230900171	307147.8598
33	0.21893107	300229.8395
34	0.2158704495	294668.5619
35	0.2130019964	289552.7047
36	0.2101665406	284547.6587
37	0.2074054295	279616.9131
38	0.2047350129	274932.7397
39	0.2022578105	270325.9723
40	0.2000884656	266207.8426
41	0.1984592174	262974.0889
42	0.1964138911	259001.6394
43	0.1946105249	255214.9164
44	0.1929833856	251817.9566
45	0.191350244	248790.2181
46	0.1899644233	245872.0564
47	0.1891988692	244065.6598
48	0.1880207673	241495.7078
49	0.1863403497	238239.1507
50	0.1853278252	235938.2816
51	0.1844462117	233967.4413
52	0.1833215792	231549.3261
53	0.1821400517	229105.5053
54	0.1810280931	226805.7587
55	0.180070281	224713.4096
56	0.1792826902	223045.6075
57	0.1786972947	221735.0072
58	0.1779131704	220010.3487
59	0.1771959998	218487.8588
60	0.1764778866	217062.2386
61	0.1757749361	215634.4052
62	0.1752750747	214613.2927
63	0.1746484763	213325.6693
64	0.173881447	211768.6334
65	0.1732039722	210362.2001
66	0.172612239	209241.155
67	0.1721920297	208301.6748
68	0.1717295272	207413.7175
69	0.1713491084	206508.8558
70	0.1708777585	205641.6423
71	0.1704529543	204863.5617
72	0.1700552041	204028.4632
73	0.1697877617	203471.2283
74	0.1693605056	202652.4608
75	0.1690953815	202099.8777
76	0.1688646897	201626.1577
77	0.1687032507	201236.2643
78	0.1684091424	200669.0183
79	0.1680691267	199880.0742
80	0.1677289282	199277.57
81	0.1674847364	199020.0842
82	0.1671406044	198372.1885
83	0.166881858	197935.7475
84	0.1666181101	197418.9127
85	0.1664040858	196898.4705
86	0.1661630854	196418.0785
87	0.1656986006	195569.0647
88	0.1654065916	195001.5383
89	0.1651578001	194529.5772
90	0.1648061092	193865.7537
91	0.1646156656	193493.8119
92	0.1643154341	193064.3928
93	0.1640379724	192590.8965
94	0.1638165688	192177.8126
95	0.1635870049	191784.3459
96	0.1634221833	191506.6024
97	0.1632229913	191219.3708
98	0.1630638472	191015.3429
99	0.1627667492	190437.1232
100	0.1625812471	190113.6225
101	0.1622617984	189650.2488
102	0.1618976939	189012.3277
103	0.1616725332	188742.3895
104	0.1613642104	188424.3606
105	0.1611191039	188015.9587
106	0.1609387466	187806.1644
107	0.1608287386	187612.5723
108	0.1605882828	187129.4817
109	0.1601986078	186468.36
110	0.1599614697	186075.3415
111	0.1598035003	185936.9839
112	0.1596637117	185811.4452
113	0.1594138538	185543.8715
114	0.1592359867	185233.6782
115	0.1590417345	184972.992
116	0.1587702838	184472.1737
117	0.1585703713	184132.9066
118	0.1584379111	183928.5013
119	0.158140278	183536.2269
120	0.157932166	183241.5443
121	0.1577520863	183064.6724
122	0.1576124467	182937.7474
123	0.1574867358	182705.3427
124	0.1573049253	182436.6662
125	0.1572067873	182371.8095
126	0.1570593991	182176.0685
127	0.1568394644	181880.6736
128	0.1566345224	181647.1582
129	0.1564498465	181340.6291
130	0.1562351783	181027.8585
131	0.1560456011	180841.9208
132	0.155911683	180667.0645
133	0.1556828482	180343.3745
134	0.1555361699	180133.0697
135	0.1553159622	179838.1694
136	0.1550598256	179446.7042
137	0.1548978127	179209.7454
138	0.1547286575	178961.2059
139	0.1545839013	178773.8087
140	0.1544318267	178550.1252
141	0.1542824669	178304.7066
142	0.1540141591	177903.3417
143	0.1537690488	177571.7211
144	0.1535658991	177311.3127
145	0.1534858616	177261.8404
146	0.1533509323	177064.4266
147	0.153219151	176833.879
148	0.1530249627	176647.2414
149	0.152921803	176524.6514
150	0.1527269313	176235.1078
151	0.152637577	176160.1588
152	0.1524659306	175939.8309
